account_id	account_type	region	code	row_sum	column_sum	balance
ACT:SK:TRADE	activity	SK	TRADE	14634.122277633123	14634.122277633132	-9.094947017729282e-12
ACT:SK:TRANSPORT	activity	SK	TRANSPORT	10625.20421478781	10625.204214787811	-1.8189894035458565e-12
ACT:SK:UTIL_WASTE	activity	SK	UTIL_WASTE	11171.100164755322	11171.100164755317	5.4569682106375694e-12
COM:DE:AGRI_FOOD	commodity	DE	AGRI_FOOD	228497.5253958878	228497.5253958878	0.0
COM:DE:BASIC_METALS	commodity	DE	BASIC_METALS	86551.51519048125	86551.51519048134	-8.731149137020111e-11
COM:DE:CONSTRUCTION	commodity	DE	CONSTRUCTION	302067.5719367389	302067.571936739	-1.1641532182693481e-10
COM:DE:EXTRACTIVE	commodity	DE	EXTRACTIVE	9855.351728126947	9855.351728127036	-8.913048077374697e-11
COM:DE:INC_EE	commodity	DE	INC_EE	76.54347749261343	76.54347749270863	-9.519851573713822e-11
COM:DE:METAL_COMPONENTS	commodity	DE	METAL_COMPONENTS	127251.31544434816	127251.3154443482	-4.3655745685100555e-11
COM:DE:NEW_ELMA	commodity	DE	NEW_ELMA	63189.750820370195	63189.750820370304	-1.0913936421275139e-10
COM:DE:NEW_OFMA	commodity	DE	NEW_OFMA	1.9330296153593514	1.9330296154544973	-9.514589116577099e-11
COM:DE:NEW_RATV	commodity	DE	NEW_RATV	51254.118748954905	51254.118748955065	-1.6007106751203537e-10
COM:DE:OTHER_MANUFACTURING	commodity	DE	OTHER_MANUFACTURING	1.1381807851728043e6	1.1381807851728045e6	-2.3283064365386963e-10
COM:DE:OTHER_SERVICES	commodity	DE	OTHER_SERVICES	1.9426546459647205e6	1.942654645964721e6	-4.656612873077393e-10
COM:DE:PUBLIC_SOCIAL	commodity	DE	PUBLIC_SOCIAL	769582.137380595	769582.1373805949	1.1641532182693481e-10
COM:DE:REC_EE	commodity	DE	REC_EE	205.30689450600377	205.3068945060989	-9.512746146356221e-11
COM:DE:REF_ELMA	commodity	DE	REF_ELMA	10077.759274551667	10077.759274551769	-1.0186340659856796e-10
COM:DE:REF_OFMA	commodity	DE	REF_OFMA	0.41086506702503	0.4108650671201796	-9.514961041290348e-11
COM:DE:REF_RATV	commodity	DE	REF_RATV	9745.584895493424	9745.58489549352	-9.640643838793039e-11
COM:DE:REP_ELMA	commodity	DE	REP_ELMA	63.65400630942008	63.65400630951523	-9.514877774563502e-11
COM:DE:REP_OFMA	commodity	DE	REP_OFMA	0.032702653860142046	0.0327026539552786	-9.513655141457633e-11
COM:DE:REP_RATV	commodity	DE	REP_RATV	158.06550099870108	158.0655009987962	-9.512746146356221e-11
COM:DE:REU_ELMA	commodity	DE	REU_ELMA	3673.376332463925	3673.3763324640204	-9.549694368615746e-11
COM:DE:REU_OFMA	commodity	DE	REU_OFMA	0.2342889178422858	0.23428891793743367	-9.51478618116397e-11
COM:DE:REU_RATV	commodity	DE	REU_RATV	4570.15921596045	4570.159215960545	-9.549694368615746e-11
COM:DE:TRADE	commodity	DE	TRADE	526293.0586726372	526293.0586726374	-2.3283064365386963e-10
COM:DE:TRANSPORT	commodity	DE	TRANSPORT	338926.06658682966	338926.0665868298	-1.1641532182693481e-10
COM:DE:UTIL_WASTE	commodity	DE	UTIL_WASTE	163883.9651422205	163883.96514222064	-1.4551915228366852e-10
COM:FR:AGRI_FOOD	commodity	FR	AGRI_FOOD	233557.81488137352	233557.81488137358	-5.820766091346741e-11
COM:FR:BASIC_METALS	commodity	FR	BASIC_METALS	24587.886612385213	24587.886612385308	-9.458744898438454e-11
COM:FR:CONSTRUCTION	commodity	FR	CONSTRUCTION	290460.6395522433	290460.6395522433	0.0
COM:FR:EXTRACTIVE	commodity	FR	EXTRACTIVE	5056.579553774526	5056.57955377462	-9.367795428261161e-11
COM:FR:INC_EE	commodity	FR	INC_EE	117.52270067165395	117.5227006717491	-9.515588317299262e-11
COM:FR:METAL_COMPONENTS	commodity	FR	METAL_COMPONENTS	51740.74874256327	51740.74874256337	-1.0186340659856796e-10
COM:FR:NEW_ELMA	commodity	FR	NEW_ELMA	15160.412119386907	15160.412119386998	-9.094947017729282e-11
COM:FR:NEW_OFMA	commodity	FR	NEW_OFMA	0.9095721923725353	0.9095721924676735	-9.513823062690108e-11
COM:FR:NEW_RATV	commodity	FR	NEW_RATV	16552.273892738318	16552.2738927384	-8.36735125631094e-11
COM:FR:OTHER_MANUFACTURING	commodity	FR	OTHER_MANUFACTURING	444694.35664647655	444694.3566464768	-2.3283064365386963e-10
COM:FR:OTHER_SERVICES	commodity	FR	OTHER_SERVICES	1.5307111858883747e6	1.5307111858883747e6	0.0
COM:FR:PUBLIC_SOCIAL	commodity	FR	PUBLIC_SOCIAL	564292.7589553446	564292.7589553444	1.1641532182693481e-10
COM:FR:REC_EE	commodity	FR	REC_EE	140.9232660870266	140.92326608712168	-9.50706180447014e-11
COM:FR:REF_ELMA	commodity	FR	REF_ELMA	2350.6114275719497	2350.611427572044	-9.413270163349807e-11
COM:FR:REF_OFMA	commodity	FR	REF_OFMA	0.1390745976824348	0.1390745977775761	-9.514131149579441e-11
COM:FR:REF_RATV	commodity	FR	REF_RATV	2521.9379940349713	2521.9379940350655	-9.413270163349807e-11
COM:FR:REP_ELMA	commodity	FR	REP_ELMA	38.558979005213544	38.55897900530868	-9.513456689091981e-11
COM:FR:REP_OFMA	commodity	FR	REP_OFMA	0.002175605714240428	0.002175605809387517	-9.514708899233115e-11
COM:FR:REP_RATV	commodity	FR	REP_RATV	39.433802921800236	39.433802921895385	-9.514877774563502e-11
COM:FR:REU_ELMA	commodity	FR	REU_ELMA	479.2333892415308	479.23338924162596	-9.515588317299262e-11
COM:FR:REU_OFMA	commodity	FR	REU_OFMA	0.025210293881450265	0.02521029397659327	-9.514300458590697e-11
COM:FR:REU_RATV	commodity	FR	REU_RATV	457.6118681112828	457.6118681113779	-9.509903975413181e-11
COM:FR:TRADE	commodity	FR	TRADE	386911.51933438296	386911.51933438284	1.1641532182693481e-10
COM:FR:TRANSPORT	commodity	FR	TRANSPORT	199502.18524203115	199502.18524203124	-8.731149137020111e-11
COM:FR:UTIL_WASTE	commodity	FR	UTIL_WASTE	147053.08770133954	147053.08770133965	-1.1641532182693481e-10
COM:IT:AGRI_FOOD	commodity	IT	AGRI_FOOD	185622.73826166757	185622.73826166778	-2.0372681319713593e-10
COM:IT:BASIC_METALS	commodity	IT	BASIC_METALS	47020.20521743487	47020.20521743502	-1.4551915228366852e-10
COM:IT:CONSTRUCTION	commodity	IT	CONSTRUCTION	177606.61111259402	177606.61111259417	-1.4551915228366852e-10
COM:IT:EXTRACTIVE	commodity	IT	EXTRACTIVE	7023.517907245209	7023.517907245305	-9.549694368615746e-11
COM:IT:INC_EE	commodity	IT	INC_EE	187.77412996309977	187.77412996319495	-9.518430488242302e-11
COM:IT:METAL_COMPONENTS	commodity	IT	METAL_COMPONENTS	85776.64644230616	85776.64644230621	-5.820766091346741e-11
COM:IT:NEW_ELMA	commodity	IT	NEW_ELMA	25223.059084259516	25223.05908425963	-1.127773430198431e-10
COM:IT:NEW_OFMA	commodity	IT	NEW_OFMA	3371.404317243748	3371.404317243843	-9.458744898438454e-11
COM:IT:NEW_RATV	commodity	IT	NEW_RATV	11739.377236889088	11739.377236889184	-9.640643838793039e-11
COM:IT:OTHER_MANUFACTURING	commodity	IT	OTHER_MANUFACTURING	544043.7212719998	544043.7212719994	3.4924596548080444e-10
COM:IT:OTHER_SERVICES	commodity	IT	OTHER_SERVICES	1.0907221106311153e6	1.090722110631116e6	-6.984919309616089e-10
COM:IT:PUBLIC_SOCIAL	commodity	IT	PUBLIC_SOCIAL	362743.7165072035	362743.7165072036	-5.820766091346741e-11
COM:IT:REC_EE	commodity	IT	REC_EE	406.17533941376286	406.17533941385824	-9.538325684843585e-11
COM:IT:REF_ELMA	commodity	IT	REF_ELMA	2653.0365422607742	2653.036542260869	-9.458744898438454e-11
COM:IT:REF_OFMA	commodity	IT	REF_OFMA	300.4378873343419	300.437887334437	-9.509903975413181e-11
COM:IT:REF_RATV	commodity	IT	REF_RATV	1046.2183458306217	1046.218345830717	-9.526957001071423e-11
COM:IT:REP_ELMA	commodity	IT	REP_ELMA	33.086810389732776	33.08681038982792	-9.514167231827741e-11
COM:IT:REP_OFMA	commodity	IT	REP_OFMA	8.281868259493326	8.281868259588466	-9.513989596143801e-11
