region	split_source	target_parent_id	target_parent_product_code	target_parent_product_label	target_parent_activity_code	target_parent_activity_label	split_label	split_label_description	split_kind	split_product_code	split_activity_code	split_share
DE	circular_parent	REPAIR_HOUSEHOLD	CPA_S95	Repair services of computers and personal and household goods	S95	Repair of computers and personal and household goods	res	Residual non-CE-RISE share of Repair services of computers and personal and household goods	residual	CPA_S95_res	S95_res	0.9472811186065777
FR	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	DES	Desktop computers	child	CPA_C26_DES	C26_DES	3.861763268020873e-5
FR	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	LAP	Laptops	child	CPA_C26_LAP	C26_LAP	0.0
FR	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	MOB	Mobile phones	child	CPA_C26_MOB	C26_MOB	0.0
FR	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	MON	Monitors	child	CPA_C26_MON	C26_MON	0.008491471310687924
FR	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	OFMA_c	Other office machinery and computers	child	CPA_C26_OFMA_c	C26_OFMA_c	0.0
FR	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	OFMA_res	Residual office machinery and computer equipment outside CE-RISE disaggregation	residual	CPA_C26_OFMA_res	C26_OFMA_res	1.655041400580375e-5
FR	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	PRI	Printers	child	CPA_C26_PRI	C26_PRI	0.0
FR	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	RATV_c	Other radio, television and communication equipment	child	CPA_C26_RATV_c	C26_RATV_c	0.6914699110566318
FR	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	RATV_res	Residual radio, television and communication equipment outside CE-RISE disaggregation	residual	CPA_C26_RATV_res	C26_RATV_res	0.2999834495859943
FR	manufacturing	C27	CPA_C27	Electrical equipment	C27	C27	BAT	Batteries	child	CPA_C27_BAT	C27_BAT	0.0007676826281887591
FR	manufacturing	C27	CPA_C27	Electrical equipment	C27	C27	ELMA_c	Other electrical machinery and apparatus	child	CPA_C27_ELMA_c	C27_ELMA_c	0.6781319233069223
FR	manufacturing	C27	CPA_C27	Electrical equipment	C27	C27	ELMA_res	Residual electrical equipment outside CE-RISE disaggregation	residual	CPA_C27_ELMA_res	C27_ELMA_res	0.30000000000000004
FR	manufacturing	C27	CPA_C27	Electrical equipment	C27	C27	HPP	Household appliances	child	CPA_C27_HPP	C27_HPP	0.021100394064888964
FR	manufacturing	C27	CPA_C27	Electrical equipment	C27	C27	PV	Photovoltaic equipment	child	CPA_C27_PV	C27_PV	0.0
FR	circular_parent	REPAIR_MACHINERY	CPA_C33	Repair and installation services of machinery and equipment	C33	Repair and installation of machinery and equipment	ELMA	Electrical machinery and apparatus n.e.c.-linked share of Repair and installation services of machinery and equipment	family_split	CPA_C33_ELMA	C33_ELMA	0.0022674253876314235
FR	circular_parent	REPAIR_MACHINERY	CPA_C33	Repair and installation services of machinery and equipment	C33	Repair and installation of machinery and equipment	OFMA	Office machinery and computers-linked share of Repair and installation services of machinery and equipment	family_split	CPA_C33_OFMA	C33_OFMA	2.627697007484483e-7
FR	circular_parent	REPAIR_MACHINERY	CPA_C33	Repair and installation services of machinery and equipment	C33	Repair and installation of machinery and equipment	RATV	Radio, television and communication equipment and apparatus-linked share of Repair and installation services of machinery and equipment	family_split	CPA_C33_RATV	C33_RATV	0.004762815072152078
FR	circular_parent	REPAIR_MACHINERY	CPA_C33	Repair and installation services of machinery and equipment	C33	Repair and installation of machinery and equipment	res	Residual non-CE-RISE share of Repair and installation services of machinery and equipment	residual	CPA_C33_res	C33_res	0.9929694967705157
