region	product_sector	product_label	output_meur
ROW	REU_RATV	Reuse route for RATV	35086.41875507681
ROW	TRADE	Trade services	8.1803967716229195e6
ROW	TRANSPORT	Transport and storage	4.2397021201692745e6
ROW	UTIL_WASTE	Utilities, water, and residual waste services	2.887894387789694e6
SK	AGRI_FOOD	Agriculture and food	7447.424955555535
SK	BASIC_METALS	Basic metals	4162.359176222576
SK	CONSTRUCTION	Construction	13902.561600008126
SK	EXTRACTIVE	Extractive industries	466.4862006279478
SK	INC_EE	Incineration and disposal activities for CE-RISE chains	3.6237936538664397
SK	METAL_COMPONENTS	Metal components and fabricated metals	5300.294047679637
SK	NEW_ELMA	New CE-RISE electrical equipment	2049.3634210735618
SK	NEW_OFMA	New CE-RISE office machinery and computers	0.3351141682007358
SK	NEW_RATV	New CE-RISE communication and consumer electronics	4049.7054267585204
SK	OTHER_MANUFACTURING	Other manufacturing	48172.72530011857
SK	OTHER_SERVICES	Other market services	43917.213202271945
SK	PUBLIC_SOCIAL	Public and social services	15078.065236511846
SK	REC_EE	Recycling and recovery activities for CE-RISE chains	1.1636314723609251
SK	REF_ELMA	Refurbishment route for ELMA	431.7052894275188
SK	REF_OFMA	Refurbishment route for OFMA	0.3756005572181529
SK	REF_RATV	Refurbishment route for RATV	688.8011172634733
SK	REP_ELMA	Repair activities linked to ELMA	0.7163947626932197
SK	REP_OFMA	Repair activities linked to OFMA	0.2919690901893082
SK	REP_RATV	Repair activities linked to RATV	0.6509595921798869
SK	REU_ELMA	Reuse route for ELMA	252.8167442561229
SK	REU_OFMA	Reuse route for OFMA	0.3468802470835074
SK	REU_RATV	Reuse route for RATV	343.664326866622
SK	TRADE	Trade services	14380.033336187365
SK	TRANSPORT	Transport and storage	10700.897610366534
SK	UTIL_WASTE	Utilities, water, and residual waste services	11655.707665260305
