label,ACT_AGRI_FOOD,ACT_EXTRACTIVE,ACT_BASIC_METALS,ACT_METAL_COMPONENTS,ACT_NEW_ELMA,ACT_NEW_OFMA,ACT_NEW_RATV,ACT_REP_ELMA,ACT_REP_OFMA,ACT_REP_RATV,ACT_REF_ELMA,ACT_REF_OFMA,ACT_REF_RATV,ACT_REU_ELMA,ACT_REU_OFMA,ACT_REU_RATV,ACT_REC_EE,ACT_INC_EE,ACT_CONSTRUCTION,ACT_UTIL_WASTE,ACT_TRADE,ACT_TRANSPORT,ACT_OTHER_MANUFACTURING,ACT_OTHER_SERVICES,ACT_PUBLIC_SOCIAL,COM_AGRI_FOOD,COM_EXTRACTIVE,COM_BASIC_METALS,COM_METAL_COMPONENTS,COM_NEW_ELMA,COM_NEW_OFMA,COM_NEW_RATV,COM_REP_ELMA,COM_REP_OFMA,COM_REP_RATV,COM_REF_ELMA,COM_REF_OFMA,COM_REF_RATV,COM_REU_ELMA,COM_REU_OFMA,COM_REU_RATV,COM_REC_EE,COM_INC_EE,COM_CONSTRUCTION,COM_UTIL_WASTE,COM_TRADE,COM_TRANSPORT,COM_OTHER_MANUFACTURING,COM_OTHER_SERVICES,COM_PUBLIC_SOCIAL,CAP,LAB,HH,GOV,INV,EXT
ACT_REF_ELMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.10436870744613,5.8147744314351995,36.803204925509014,107.35895328933766,34.44089763938794,4.011564460262469,33.294996101421184,0.29898312594136306,0.10540454435168828,0.4621287955966455,26703.76139864531,0.18830470358415496,2.673775563345443,8.893780553784293,0.6521637980977857,12.569293567211268,0.12219294184262215,0.16733139630047228,87.31377114854368,53.95814456823225,558.6980433874934,418.1266624949272,744.419989049357,1372.7377322621855,4.816841723216731,0.0,0.0,0.0,0.0,0.0,0.0
ACT_REF_OFMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.311039334925,0.3638844892532527,3.4466265477775297,5.393620515050626,1.8360410106320963,0.43633407413655034,2.8359020376715707,0.06548753607384362,0.05712604445028012,0.10655734960645304,0.1884914170347355,2262.702925383121,0.2054128992692114,0.5567269961557746,0.1268773451529378,0.9954062428574949,0.038427630491752976,0.045675948842627045,6.376485302392661,7.40255747908954,40.28253418346026,27.39044676242552,58.42640441308093,168.75676223847978,0.4962676349217074,0.0,0.0,0.0,0.0,0.0,0.0
ACT_REF_RATV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.3056201846435,8.404854691427829,55.39573667313165,108.94524925679741,36.66324051126596,2.8515760996095914,41.79784793835911,0.5825402155966051,0.14649786737072262,1.1967708860608692,3.491331859543415,0.24195662309750016,48093.4706922456,10.37485579559543,1.0203642306487517,22.80528638211652,0.15217466700215282,0.3491143744522992,152.08383571936363,131.3366738908732,783.0637117613433,616.8938430797324,1065.1167277388845,2967.9341644673164,10.465749354517332,0.0,0.0,0.0,0.0,0.0,0.0
ACT_REU_ELMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.88065208203183,0.509924024155764,0.622089290796556,1.8026863712922463,0.34626875409272606,0.5648075720405614,2.716539822363938,0.19465034136853376,0.09416079320180619,0.19417263071127921,5.712916656095243,0.24992978086755052,8.939242620762187,8552.533782853534,0.0896164598212139,0.8582562167733128,0.03232326849915899,0.02684041113913001,13.675926780128231,1.5801507888228903,248.03314303140567,49.73815486739602,55.593858690789304,351.01527250716697,4.7381198957101605,0.0,0.0,0.0,0.0,0.0,0.0
ACT_REU_OFMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3631199879457014,0.05926539414265683,0.038074647265668046,0.1624546763882456,0.05095821137826119,0.08218600169019302,0.3228260171089291,0.04575858883852926,0.05370817265589214,0.052233867305457135,0.1471674685750322,0.04153615563583192,0.3251916819014187,0.03693501970335469,581.7339767391034,0.07052424884676319,0.02394209763278235,0.02215639774081435,1.061529709927006,0.06366034101707937,13.700861936758072,2.949419308981824,4.447667573709043,29.972936636944905,0.4936502501501309,0.0,0.0,0.0,0.0,0.0,0.0
ACT_REU_RATV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.795541277851676,1.0224475909681234,0.7044925974020163,3.192706270010747,0.39714307279000666,0.33645555654883985,3.0048996551881495,0.18448827820614455,0.09423473708581412,0.23343922692870916,9.027804607297382,0.36125273262887647,14.28324603587458,0.4106928615622556,0.09357497024264995,13968.090828392385,0.032472467439152664,0.02737270299998086,17.879468068504373,1.3897539938586094,391.0304657896712,75.44375208455507,65.71268671236457,499.92623280398243,3.262084069399031,0.0,0.0,0.0,0.0,0.0,0.0
ACT_REC_EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714935727842314,0.2878044163171214,1.6464217867158553,0.20351540857854322,0.36549896575988805,0.045481328289545264,0.011563872101262968,0.029444198978292146,0.041479031496214874,0.03175986699673001,0.1840629360963466,0.06572912843136505,0.15725239393218843,0.03321801453535677,0.06602755418133907,0.030825300668293167,468.7800758869791,175.13953344030284,7.293467144565486,16.567751526750556,10.72633573335228,0.7975569216102787,1.3319773367428513,29.956890062447936,0.12209987039125304,0.0,0.0,0.0,0.0,0.0,0.0
ACT_INC_EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.207426925049865,0.8489939660914452,4.725291141225267,0.5051697703671605,0.14185326095958606,0.046660928656526955,0.013099139296575779,0.029471988736590942,0.04150266016255381,0.031784407080090234,0.13830848202232182,0.0656817594480964,0.2023163827396085,0.02784492219469787,0.06747100458498478,0.042062445040515935,175.14393164282183,449.11659452080414,5.627385315239996,13.829243527627884,8.622581903079087,2.1902860101331125,3.1099019997749866,22.97694371023653,0.40042211237660325,0.0,0.0,0.0,0.0,0.0,0.0
ACT_CONSTRUCTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.6784303289403,2660.9988248424925,300.44506632881394,2680.6660217286103,639.5482658135801,11.761176225651214,267.10067688341024,0.9655377357207678,0.22701467732224415,2.8225010212505413,290.5221713730788,19.81561155239895,329.65405381366554,38.004045444712446,7.593116529887591,143.86253404689737,2.8468224761106664,1.885436359024409,2.2014122678891444e6,1071.8596314009746,8243.217598433384,2327.096027671739,8054.068877726866,58956.85919949462,147.44446894670295,0.0,0.0,0.0,0.0,0.0,0.0
ACT_UTIL_WASTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.5943225557944,2421.457050634156,1671.0352206793307,262.7164244333434,829.3489569492286,2.3641281320445637,41.278382169751524,0.08338498204240985,0.050266691010516146,0.18794169579699024,99.67015496729616,8.831055795716704,167.39710774742167,38.79775857432383,2.9119810297920745,53.66167560181419,57.42164016454315,40.18792501488696,23640.669909689997,1.1701297010919794e6,6796.160760900539,2408.4505135337818,2272.2074715694466,26351.933527474088,1220.999409254917,0.0,0.0,0.0,0.0,0.0,0.0
