product_region	product_sector	original_supply_total_meur	original_use_total_meur	original_gap_meur	balanced_supply_total_meur	balanced_use_total_meur	balanced_gap_meur
REU	NEW_OFMA	9002.597928760999	9002.531184738953	0.06674402204589569	9002.618397186596	9002.618397186503	9.276845958083868e-11
REU	NEW_RATV	160394.40941147087	160393.2202693941	1.1891420767642558	160394.27602430354	160394.27602430372	-1.7462298274040222e-10
REU	OTHER_MANUFACTURING	2.443487338628344e6	2.443463270957961e6	24.0676703825593	2.443484616834732e6	2.4434846168347327e6	-9.313225746154785e-10
REU	OTHER_SERVICES	6.475193460542409e6	6.475157318878545e6	36.14166386332363	6.475189375899204e6	6.4751893758991975e6	6.51925802230835e-9
REU	PUBLIC_SOCIAL	2.3370534330000007e6	2.337049114999999e6	4.318000001832843	2.337052943059342e6	2.3370529430593457e6	-3.725290298461914e-9
REU	REC_EE	112.78364025537736	112.78204593679921	0.0015943185781566171	112.82025289495321	112.820252894858	9.521272659185342e-11
REU	REF_ELMA	16021.212452529286	16021.18873881712	0.02371371216577245	16021.250668325747	16021.250668325652	9.458744898438454e-11
REU	REF_OFMA	2395.7438945647864	2395.742398081738	0.0014964830484132108	2395.795798244054	2395.795798243958	9.595169103704393e-11
REU	REF_RATV	42655.45425119422	42655.42760679183	0.026644402387319133	42655.49007453299	42655.49007453286	1.2369127944111824e-10
REU	REP_ELMA	96.1677194138741	96.16223229674483	0.005487117129263197	96.23599562125919	96.23599562116401	9.518430488242302e-11
REU	REP_OFMA	16.41810518399875	16.417168403270463	0.000936780728288511	16.53381599765013	16.533815997554996	9.513456689091981e-11
REU	REP_RATV	292.31911480862794	292.30243572720786	0.016679081420079456	292.3598148324595	292.3598148323641	9.538325684843585e-11
REU	REU_ELMA	4378.124220911539	4378.109297624321	0.014923287218152836	4378.167148137446	4378.167148137351	9.458744898438454e-11
REU	REU_OFMA	675.6791538840698	675.6750452791423	0.004108604927523629	675.7357405178628	675.7357405177679	9.492850949754938e-11
REU	REU_RATV	12030.251356321745	12030.178203924324	0.07315239742092672	12030.277863534282	12030.277863534177	1.0550138540565968e-10
REU	TRADE	1.9539703201887747e6	1.9539676299945086e6	2.690194266149774	1.9539700123059445e6	1.953970012305943e6	1.3969838619232178e-9
REU	TRANSPORT	1.1673420299999993e6	1.1673343780000007e6	7.651999998604879	1.1673411574073716e6	1.1673411574073706e6	9.313225746154785e-10
REU	UTIL_WASTE	749590.8914744547	749585.4354240838	5.456050370819867	749590.2717874172	749590.2717874176	-3.4924596548080444e-10
ROW	AGRI_FOOD	9.173221114999995e6	9.173218913999995e6	2.2009999994188547	9.17321863885418e6	9.173218638854174e6	5.587935447692871e-9
ROW	BASIC_METALS	2.8604991029999997e6	2.8604985479999995e6	0.5550000001676381	2.860496812546993e6	2.860496812546994e6	-9.313225746154785e-10
