product_region	product_sector	activity_region	activity_sector	original_value_meur	balanced_value_meur	delta_meur	abs_delta_meur	pct_delta	objective_contribution
DE	CONSTRUCTION	DE	REF_OFMA	0.0002265639359309731	0.0	-0.0002265639359309731	0.0002265639359309731	-100.00000000000001	2.566560853226704e-8
IT	REU_RATV	IT	REU_OFMA	0.003347804852436151	0.0035664597982630877	0.00021865494582693672	0.00021865494582693672	6.531293055144016	2.3904992667290315e-8
SK	REU_OFMA	SK	NEW_OFMA	4.75407603145162e-12	0.00020558977388639718	0.00020558976913232115	0.00020558976913232115	4.324494765590569e9	2.1133576585940553e-8
SK	REU_OFMA	SK	REU_OFMA	0.0029218439071586957	0.0027247626804995373	-0.00019708122665915845	0.00019708122665915845	-6.745097716421381	1.9420504950739294e-8
ROW	REP_ELMA	ROW	EXTRACTIVE	0.00019540461147568404	0.0	-0.00019540461147568404	0.00019540461147568404	-100.0	1.9091481092981516e-8
IT	REU_RATV	IT	REF_OFMA	0.13425310981145827	0.13444795253247768	0.00019484272101941147	0.00019484272101941147	0.14513088098521051	1.8981842967124104e-8
PL	REU_ELMA	PL	REP_RATV	0.0008497181657631384	0.0006549826643156749	-0.00019473550144746355	0.00019473550144746355	-22.917657794519442	1.896095776199754e-8
IT	REU_ELMA	IT	REU_ELMA	668.277411428295	668.2772171768098	-0.00019425148514073953	0.00019425148514073953	-2.9067492304665812e-5	1.8866819739691474e-8
IT	REU_ELMA	IT	EXTRACTIVE	0.32088280106598144	0.3210761144917483	0.00019331342576683896	0.00019331342576683896	0.060244246536319955	1.868504029085558e-8
PL	NEW_OFMA	PL	REF_OFMA	0.0006718807024293418	0.0008627404993275505	0.0001908597968982087	0.0001908597968982087	28.406798440275256	1.8213731036012738e-8
PL	NEW_OFMA	PL	NEW_OFMA	135.3599732424479	135.36016080025274	0.00018755780484980278	0.00018755780484980278	0.00013856223546517815	1.7588965080038352e-8
DE	AGRI_FOOD	DE	REU_OFMA	0.00018449324896833004	0.0	-0.00018449324896833004	0.00018449324896833004	-100.0	1.7018879457445106e-8
SK	METAL_COMPONENTS	SK	INC_EE	0.0001829117081432651	0.0	-0.0001829117081432651	0.0001829117081432651	-99.99999999999999	1.6728346487943494e-8
DE	REC_EE	DE	INC_EE	25.62315063448176	25.623332689623286	0.00018205514152569435	0.00018205514152569435	0.0007105103666709037	1.65720372779703e-8
IT	REF_OFMA	IT	METAL_COMPONENTS	1.6904938187111775	1.6903123009712622	-0.00018151773991537112	0.00018151773991537112	-0.010737557150830588	1.6474344951992158e-8
SK	TRANSPORT	SK	REF_OFMA	0.00017959034761078223	0.0	-0.00017959034761078223	0.00017959034761078223	-100.0	1.6126346477480797e-8
IT	REU_RATV	IT	REF_RATV	0.46746846109436646	0.4676459705004114	0.00017750940604494003	0.00017750940604494003	0.03797248816088723	1.5754794617213697e-8
DE	REC_EE	DE	REC_EE	167.16520783794107	167.16538517810235	0.0001773401612865655	0.0001773401612865655	0.00010608676505130695	1.572476640257253e-8
FR	REC_EE	FR	REC_EE	55.576597597165	55.57642490882105	-0.00017268834394457144	0.00017268834394457144	-0.0003107213312989502	1.4910632067159302e-8
SK	BASIC_METALS	SK	NEW_OFMA	0.00017078236803740079	0.0	-0.00017078236803740079	0.00017078236803740079	-100.0	1.4583308616231106e-8
SK	CONSTRUCTION	SK	REF_OFMA	0.00017037734674556635	0.0	-0.00017037734674556635	0.00017037734674556635	-100.0	1.4514220142029475e-8
PL	NEW_OFMA	PL	REF_ELMA	0.04972955398962012	0.049897891802899594	0.00016833781327947606	0.00016833781327947606	0.3385065816488373	1.4168809689857872e-8
FR	REC_EE	FR	INC_EE	45.962938293487255	45.962770193221786	-0.00016810026546920653	0.00016810026546920653	-0.00036573002447283834	1.4128849625408855e-8
DE	NEW_OFMA	DE	REF_ELMA	0.00016737745009225274	0.0	-0.00016737745009225274	0.00016737745009225274	-100.0	1.400760539969228e-8
PL	NEW_OFMA	PL	REF_RATV	0.025565155259731822	0.025731454030717953	0.00016629877098613133	0.00016629877098613133	0.6504899708083205	1.3827640615748878e-8
SK	PUBLIC_SOCIAL	SK	REC_EE	0.0001662779819740396	0.0	-0.0001662779819740396	0.0001662779819740396	-100.00000000000001	1.3824183644679518e-8
IT	REP_ELMA	IT	TRADE	5.814947961917696	5.815111082672398	0.00016312075470192866	0.00016312075470192866	0.0028051971534433736	1.3304190307263391e-8
SK	METAL_COMPONENTS	SK	REF_OFMA	0.0001612019285973737	0.0	-0.0001612019285973737	0.0001612019285973737	-100.0	1.2993030891756383e-8
DE	BASIC_METALS	DE	REF_OFMA	0.00015993407466621275	0.0	-0.00015993407466621275	0.00015993407466621275	-100.0	1.2789454119668858e-8
DE	EXTRACTIVE	DE	EXTRACTIVE	8937.137	8937.13715831093	0.00015831092969165184	0.00015831092969165184	1.7713830468488043e-6	1.2531175229917565e-8
IT	CONSTRUCTION	IT	EXTRACTIVE	113.709	113.7088417412757	-0.00015825872429786614	0.00015825872429786614	-0.000139178714347911	1.2522911908194002e-8
SK	NEW_ELMA	SK	NEW_OFMA	0.0001550833732841049	0.0	-0.0001550833732841049	0.0001550833732841049	-100.0	1.2025426334588513e-8
