activity_region	activity_sector	original_total_meur	target_meur	balanced_total_meur	delta_from_original_meur	target_residual_meur	sum_abs_cell_adjustment_meur
ROW	NEW_ELMA	992024.1835867054	992024.1835867054	992024.1835867052	-1.1641532182693481e-10	-1.1641532182693481e-10	0.25686377860374193
ROW	NEW_OFMA	406998.1075114591	406998.1075114591	406998.10751145903	-5.820766091346741e-11	-5.820766091346741e-11	0.265822718278271
ROW	NEW_RATV	1.4665394385837945e6	1.4665394385837945e6	1.466539438583794e6	-4.656612873077393e-10	-4.656612873077393e-10	0.26485294181054947
ROW	OTHER_MANUFACTURING	1.935693287331803e7	1.935693287331803e7	1.935693287331804e7	7.450580596923828e-9	7.450580596923828e-9	0.26746598884441586
ROW	OTHER_SERVICES	2.58388027928434e7	2.58388027928434e7	2.5838802792843387e7	-1.4901161193847656e-8	-1.4901161193847656e-8	0.26746598946301814
ROW	PUBLIC_SOCIAL	1.1949063851999998e7	1.1949063851999998e7	1.1949063851999996e7	-1.862645149230957e-9	-1.862645149230957e-9	0.2674659889315585
ROW	REC_EE	4.344868975927071	4.344868975927071	4.344868975927076	5.329070518200751e-15	5.329070518200751e-15	0.07539335684466278
ROW	REF_ELMA	71480.81737293651	71480.81737293651	71480.81737293651	0.0	0.0	0.2674659886633439
ROW	REF_OFMA	25140.760638749092	25140.760638749092	25140.76063874908	-1.0913936421275139e-11	-1.0913936421275139e-11	0.2674659886605445
ROW	REF_RATV	90725.64963621707	90725.64963621707	90725.64963621707	0.0	0.0	0.26746598865741233
ROW	REP_ELMA	736.0088025650654	736.0088025650654	736.0088025650654	0.0	0.0	0.19257214117999474
ROW	REP_OFMA	459.8223815906345	459.8223815906345	459.82238159063456	5.684341886080802e-14	5.684341886080802e-14	0.17919872536824177
ROW	REP_RATV	1659.364443523796	1659.364443523796	1659.3644435237957	-2.2737367544323206e-13	-2.2737367544323206e-13	0.2175329075312178
ROW	REU_ELMA	19311.51507896399	19311.51507896399	19311.515078963985	-3.637978807091713e-12	-3.637978807091713e-12	0.2674659886627015
ROW	REU_OFMA	9235.892613900005	9235.892613900005	9235.892613900005	0.0	0.0	0.2674659886611487
ROW	REU_RATV	33329.6342702903	33329.6342702903	33329.63427029029	-7.275957614183426e-12	-7.275957614183426e-12	0.2674659886611031
ROW	TRADE	8.259197463917856e6	8.259197463917856e6	8.259197463917857e6	9.313225746154785e-10	9.313225746154785e-10	0.26746598901156476
ROW	TRANSPORT	4.216435197e6	4.216435197e6	4.216435197e6	0.0	0.0	0.2674659887789777
ROW	UTIL_WASTE	2.69301437505259e6	2.69301437505259e6	2.69301437505259e6	0.0	0.0	0.24567002711779504
SK	AGRI_FOOD	7302.427999999998	7302.427999999998	7302.428	1.8189894035458565e-12	1.8189894035458565e-12	0.12901342945693295
SK	BASIC_METALS	3821.5719999999997	3821.5719999999997	3821.571999999999	-4.547473508864641e-13	-4.547473508864641e-13	0.12519510840583056
SK	CONSTRUCTION	12678.010999999999	12678.010999999999	12678.011	1.8189894035458565e-12	1.8189894035458565e-12	0.21361846647914626
SK	EXTRACTIVE	345.1620000000001	345.1620000000001	345.16199999999986	-2.2737367544323206e-13	-2.2737367544323206e-13	0.12625793880600006
SK	INC_EE	2.5920194187460823	2.5920194187460823	2.5920194187460766	-5.773159728050814e-15	-5.773159728050814e-15	0.16168492330700446
SK	METAL_COMPONENTS	5339.965000000002	5339.965000000002	5339.964999999999	-2.7284841053187847e-12	-2.7284841053187847e-12	0.18132166540946823
SK	NEW_ELMA	2446.072999999999	2446.072999999999	2446.073	9.094947017729282e-13	9.094947017729282e-13	0.17856039820606698
