product_region	product_sector	use_region	use_code	original_value_meur	balanced_value_meur	delta_meur	abs_delta_meur	pct_delta	objective_contribution
ROW	OTHER_SERVICES	SK	OTHER_SERVICES	1353.410576900163	1353.6688276394116	0.25825073924852404	0.25825073924852404	0.019081477835057176	0.03334672216120458
ROW	OTHER_SERVICES	IT	TRANSPORT	3037.4567705230934	3037.7149367258385	0.2581662027450875	0.2581662027450875	0.008499419818923961	0.03332489411990881
ROW	OTHER_SERVICES	FR	P3_S13	345.4534689969049	345.71160209514073	0.25813309823581676	0.25813309823581676	0.07472297180438199	0.03331634820241091
ROW	OTHER_SERVICES	ROW	INC_EE	262.6600409384283	262.91808986217274	0.25804892374441124	0.25804892374441124	0.09824445424681176	0.03329462352282448
ROW	OTHER_SERVICES	DE	NEW_ELMA	1371.5817222224302	1371.8397633510658	0.2580411286355684	0.2580411286355684	0.01881339802468742	0.033292612033758974
ROW	OTHER_SERVICES	PL	OTHER_SERVICES	4638.545119592478	4638.803159148701	0.25803955622268404	0.25803955622268404	0.005562941602804852	0.03329220628779986
ROW	OTHER_SERVICES	IT	AGRI_FOOD	1667.808259436101	1668.0662910720616	0.25803163596060585	0.25803163596060585	0.015471301002421486	0.03329016257825331
ROW	OTHER_SERVICES	PL	BASIC_METALS	96.08812214930514	96.34613061848984	0.258008469184702	0.258008469184702	0.2685123440999287	0.03328418508551666
ROW	OTHER_SERVICES	DE	NEW_RATV	936.094057244448	936.3520396045119	0.25798236006392017	0.25798236006392017	0.027559448547652906	0.033277449052075074
ROW	OTHER_SERVICES	FR	NEW_RATV	303.6836080332118	303.9415846586193	0.25797662540753663	0.25797662540753663	0.08494914397201297	0.03327596962833024
ROW	OTHER_SERVICES	ROW	REU_OFMA	1774.9245003852582	1775.1824594440345	0.2579590587763505	0.2579590587763505	0.014533522903107086	0.033271438002390324
ROW	OTHER_SERVICES	FR	NEW_ELMA	255.7482914100671	256.0062363029859	0.257944892918772	0.257944892918772	0.10085889195841502	0.03326778389143837
ROW	OTHER_SERVICES	IT	METAL_COMPONENTS	816.5425661562814	816.8004860197524	0.2579198634709883	0.2579198634709883	0.03158682402622277	0.03326132798644662
ROW	OTHER_SERVICES	SK	UTIL_WASTE	142.93580495920563	143.19368888414135	0.2578839249357259	0.2578839249357259	0.18041940226896042	0.03325205937012755
ROW	OTHER_SERVICES	SK	TRADE	213.34220345200703	213.6000683755648	0.2578649235577757	0.2578649235577757	0.12086915733753748	0.03324715940072875
ROW	OTHER_SERVICES	SK	P3_S14	216.98874017250114	217.2463242724599	0.25758409995876264	0.25758409995876264	0.11870850983050507	0.03317478427578291
ROW	OTHER_SERVICES	PL	CONSTRUCTION	468.8467856853165	469.10436528484945	0.25757959953295995	0.25757959953295995	0.054938970980989904	0.03317362504778001
ROW	OTHER_SERVICES	PL	AGRI_FOOD	496.63167515202065	496.8892334648657	0.25755831284504893	0.25755831284504893	0.05186103217564797	0.03316814225779405
ROW	OTHER_SERVICES	IT	NEW_ELMA	349.4657822551538	349.7233345796335	0.2575523244797182	0.2575523244797182	0.07369886768818835	0.03316659992245303
ROW	OTHER_SERVICES	PL	TRANSPORT	690.2457640191988	690.5031909051357	0.2574268859369795	0.2574268859369795	0.037294960629388134	0.03313430080160532
ROW	OTHER_SERVICES	SK	AGRI_FOOD	96.51148524340779	96.76882997365445	0.2573447302466576	0.2573447302466576	0.2666467411599963	0.03311315509286249
ROW	OTHER_SERVICES	IT	NEW_RATV	128.72598032414982	128.983315201557	0.25733487740717464	0.25733487740717464	0.1999090445915967	0.0331106195650828
ROW	OTHER_SERVICES	PL	PUBLIC_SOCIAL	632.580410006444	632.8377130319303	0.25730302548629425	0.25730302548629425	0.040675149185172066	0.03310242346220029
ROW	OTHER_SERVICES	ROW	REP_RATV	287.6967927173671	287.9540807341474	0.25728801678030777	0.25728801678030777	0.08943026939930719	0.03309856178937197
ROW	OTHER_SERVICES	FR	EXTRACTIVE	136.22952533731134	136.4867723236702	0.2572469863588651	0.2572469863588651	0.18883350413348962	0.03308800599535907
ROW	OTHER_SERVICES	DE	P5M	1273.6590934097958	1273.9162994983405	0.2572060885447627	0.2572060885447627	0.02019426468790636	0.03307748599224815
ROW	OTHER_SERVICES	SK	TRANSPORT	91.98677708251225	92.24395495053032	0.25717786801807563	0.25717786801807563	0.27958134437886306	0.033070227899161364
ROW	OTHER_SERVICES	PL	METAL_COMPONENTS	207.58413282442254	207.84127552947533	0.2571427050527859	0.2571427050527859	0.12387396934152028	0.03306118538093202
ROW	OTHER_SERVICES	FR	P5M	125.98564931268392	126.2427672961192	0.25711798343527903	0.25711798343527903	0.2040851357579129	0.03305482870291221
ROW	OTHER_SERVICES	SK	CONSTRUCTION	65.37696907661937	65.63405908362773	0.25709000700835816	0.25709000700835816	0.3932424684709048	0.03304763585177882
ROW	OTHER_SERVICES	PL	NEW_ELMA	71.74077285777778	71.99784759214567	0.2570747343678903	0.2570747343678903	0.3583383954861026	0.033043709525160676
ROW	OTHER_SERVICES	PL	EXTRACTIVE	79.71134713923088	79.96835037899201	0.2570032397611328	0.2570032397611328	0.3224173834526071	0.03302533262385916
ROW	OTHER_SERVICES	IT	NEW_OFMA	36.969046278732954	37.225989000632964	0.25694272190001044	0.25694272190001044	0.6950212346911987	0.033009781168693055
ROW	OTHER_SERVICES	SK	METAL_COMPONENTS	47.041140435876095	47.29803379060209	0.25689335472599595	0.25689335472599595	0.5461035858094871	0.03299709785118819
ROW	OTHER_SERVICES	DE	EXTRACTIVE	407.2096255897496	407.4664137300937	0.25678814034409925	0.25678814034409925	0.06306042986390624	0.03297007451069041
ROW	OTHER_SERVICES	DE	REU_RATV	35.19598211963381	35.45266079531479	0.25667867568098046	0.25667867568098046	0.7292840268201927	0.032941971274670974
ROW	OTHER_SERVICES	DE	REF_ELMA	45.72029211009511	45.97694516394264	0.2566530538475291	0.2566530538475291	0.5613547989358969	0.032935395024631345
ROW	OTHER_SERVICES	SK	BASIC_METALS	38.61108805161526	38.86773765844764	0.2566496068323758	0.2566496068323758	0.6647044146730258	0.03293451034360654
ROW	OTHER_SERVICES	FR	REF_RATV	53.63159410074922	53.88819233039915	0.2565982296499314	0.2565982296499314	0.4784460241250722	0.032921325729739465
ROW	OTHER_SERVICES	DE	REF_RATV	40.93250992750796	41.189104637674305	0.25659471016634683	0.25659471016634683	0.6268726511537641	0.032920422642675765
ROW	OTHER_SERVICES	FR	REF_ELMA	51.03225562316553	51.288772901632576	0.25651727846704375	0.25651727846704375	0.5026571436724826	0.03290055707606943
ROW	OTHER_SERVICES	DE	REU_ELMA	29.785479093604476	30.041982375688576	0.25650328208410045	0.25650328208410045	0.8611688980325205	0.032896966859957806
ROW	OTHER_SERVICES	ROW	REP_ELMA	117.70579224370479	117.96220383157198	0.2564115878671913	0.2564115878671913	0.21784109598982362	0.032873451196287186
ROW	OTHER_SERVICES	SK	NEW_ELMA	27.394978708241577	27.65138175773008	0.256403049488501	0.256403049488501	0.935949073803675	0.03287126189350135
ROW	OTHER_SERVICES	IT	REF_ELMA	32.93770499955468	33.19405966056374	0.25635466100905546	0.25635466100905546	0.778301527117695	0.03285885611053387
ROW	OTHER_SERVICES	SK	P5M	56.231440870412285	56.4872722907689	0.2558314203566141	0.2558314203566141	0.45496152400965206	0.032724857820841294
