instrument,wedge_percent,family,route,valid_parameter_configurations,median_change_tonnes,lower_quartile_change_tonnes,upper_quartile_change_tonnes,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
refurbishment_support,2.0,ELMA,REP,729,-53.62718618187955,-2030.1078839493393,899.2243434480279,-0.0024090507869033947,-0.0911968973859656,0.0403951291577953
refurbishment_support,2.0,ELMA,REU,729,-0.007018488513533594,-0.23396676553129692,0.10262795906394939,-0.003343150475812797,-0.11144651758025458,0.04888527059846935
refurbishment_support,2.0,OFMA,INC,729,-0.033165528563522645,-0.044998481571685844,-0.026025433873174186,-0.0012442145316002838,-0.0016881312343388266,-0.000976351785082669
refurbishment_support,2.0,OFMA,REC,729,0.1576836912507158,0.0573531679914928,0.41456875123518055,0.014033772344504154,0.005104404243993488,0.03689641858224503
refurbishment_support,2.0,OFMA,REP,729,-7.908303829202243,-82.34686846040988,25.95463559500927,-0.008776391813157557,-0.09138601624363833,0.02880365452176935
refurbishment_support,2.0,OFMA,REU,729,-0.006684240045491396,-0.07755540999248667,0.020842303718683897,-0.018871270591070865,-0.21895819387229412,0.058843002426560986
refurbishment_support,2.0,RATV,INC,729,-0.7412224775651453,-1.2337552551487647,-0.4923936808099256,-0.002058374001755137,-0.0034261369812598483,-0.001367376707917752
refurbishment_support,2.0,RATV,REC,729,3.986777547582207,1.5610537461426333,11.266084805435867,0.028126123931604022,0.011013002507383334,0.07948055633397898
refurbishment_support,2.0,RATV,REP,729,-205.2599320983718,-3203.1808173933096,1199.7147108195495,-0.007576250919323591,-0.11823107103487275,0.04428209435642091
refurbishment_support,2.0,RATV,REU,729,-0.031176872968920133,-1.4117853119628188,0.6409756204769139,-0.00239837053944055,-0.1086056418679949,0.04930889143962485
repair_support,0.25,ELMA,INC,729,-0.0027594681451432734,-0.004540772341343313,-0.0012360658802492708,-1.8033460258270304e-6,-2.9674500031315298e-6,-8.077841002553695e-7
repair_support,0.25,ELMA,REC,729,0.00013781128270551335,-0.00010091245248133873,0.0005597567415023263,2.479331360901035e-7,-1.81549292068529e-7,1.0070455890379502e-6
repair_support,0.25,ELMA,REP,729,2514.0531730485,1257.9142634293403,5031.032037318544,0.1129367808765609,0.05650826683118816,0.2260049902176993
repair_support,0.25,ELMA,REU,729,-6.059663730129117e-6,-0.0003807327560299001,0.00015703644241304993,-2.886428843415922e-6,-0.0001813562695193525,7.480192582217637e-5
repair_support,0.25,OFMA,INC,729,-5.234998535011415e-5,-7.880339561555649e-5,-2.4548397325463434e-5,-1.9639250548026175e-6,-2.9563324997678665e-6,-9.209403257764634e-7
repair_support,0.25,OFMA,REC,729,3.1209236908552596e-6,-1.7507063608535045e-6,1.183643968050152e-5,2.777607007714791e-7,-1.5581202035173621e-7,1.0534374133942642e-6
repair_support,0.25,OFMA,REP,729,295.9410616314875,147.55034995691216,593.1825545268078,0.3284262677021789,0.1637468300861939,0.6582957139346683
repair_support,0.25,OFMA,REU,729,-7.509104236980146e-5,-0.00012474769779569073,-4.6564708033880464e-7,-0.00021200067171165071,-0.0003521937489817584,-1.314637414756353e-6
repair_support,0.25,RATV,INC,729,-0.0007376876647526842,-0.001143194439691797,-0.00039609161746057,-2.048557830478003e-6,-3.1746496967313193e-6,-1.0999459843314342e-6
repair_support,0.25,RATV,REC,729,6.890461041564322e-5,-4.149547990550673e-6,0.00022469923673895664,4.861118005404119e-7,-2.9274445250436958e-8,1.585219768203385e-6
repair_support,0.25,RATV,REP,729,3135.558517351208,1569.6205225229933,6273.387837260758,0.1157350967469381,0.057935510380344384,0.23155400999812212
repair_support,0.25,RATV,REU,729,-5.005632722987485e-5,-0.0033204870930947372,0.0015293010657120298,-3.85072680831101e-6,-0.0002554380110093141,0.00011764587890501999
repair_support,0.5,ELMA,INC,729,-0.0078022496714993395,-0.010854590176194279,-0.006072037769115468,-5.098865142680622e-6,-7.0936068208189994e-6,-3.968150601367959e-6
repair_support,0.5,ELMA,REC,729,0.0022066275850747274,0.0006084442978604443,0.010277015832407699,3.969893368742453e-6,1.094638261418968e-6,1.848914482873868e-5
repair_support,0.5,ELMA,REP,729,5040.709025616585,2520.525390974174,10099.9654213395,0.22643970174992822,0.11322752709684504,0.4537125920322196
repair_support,0.5,ELMA,REU,729,-1.735744918662796e-5,-0.000778676087644925,0.000343747987646692,-8.26795746623743e-6,-0.00037091053549413467,0.0001637391364600442
repair_support,0.5,OFMA,INC,729,-0.00013934399345430504,-0.00018690327622034042,-0.00011197624375322568,-5.227530784410523e-6,-7.011731226645328e-6,-4.200821627339108e-6
repair_support,0.5,OFMA,REC,729,4.2733651418547236e-5,1.2397302109765085e-5,0.00018742332141480356,3.8032743316729434e-6,1.103353898646728e-6,1.66805850619269e-5
repair_support,0.5,OFMA,REP,729,594.0182164545184,296.6704861574483,1191.2221823070538,0.6592231057824429,0.3292357605563001,1.321981658044861
repair_support,0.5,OFMA,REU,729,-0.00011440679725960301,-0.0002720741410636718,1.219687294229388e-5,-0.00032299881719538586,-0.0007681329069426437,3.4434803072967334e-5
repair_support,0.5,RATV,INC,729,-0.001741848991940742,-0.0022797337994120426,-0.0011873837305813595,-4.837112727304065e-6,-6.330818243730048e-6,-3.297363308738689e-6
repair_support,0.5,RATV,REC,729,0.0007379856711082766,0.0003229100149013675,0.0031917754199213277,5.206379387264108e-6,2.278082232950242e-6,2.251750190501534e-5
repair_support,0.5,RATV,REP,729,6286.853814838207,3145.262703486427,12594.016537767966,0.2320510462387453,0.1160932833076401,0.4648517048447271
repair_support,0.5,RATV,REU,729,-9.07913889389711e-5,-0.006670339295486549,0.0031137025270235874,-6.984388481910638e-6,-0.0005131350174315346,0.00023953051407174611
repair_support,1.0,ELMA,INC,729,-0.016619705724821188,-0.021078910637399417,-0.012973815444709658,-1.0861180014714362e-5,-1.3775324710169364e-5,-8.478546332636052e-6
repair_support,1.0,ELMA,REC,729,0.04815649609684414,0.007487393192207037,0.17589958643470993,8.663725397516916e-5,1.3470398350840652e-5,0.0003164569347700087
repair_support,1.0,ELMA,REP,729,10132.307190807549,5060.0798977059685,20353.200736962033,0.455165455229677,0.22730988379699044,0.9143104037770464
repair_support,1.0,ELMA,REU,729,-4.496006580190226e-5,-0.0015650968722979997,0.0006628938368273829,-2.141604493451377e-5,-0.0007455101398579975,0.00031575941767653765
