instrument,wedge_percent,activity_group,valid_parameter_configurations,median_change_million_eur,lower_quartile_change_million_eur,upper_quartile_change_million_eur,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
virgin_metal_tax,0.25,Basic metals,729,-0.04026418470948556,-0.23969945725730213,0.08229987716140386,-9.108620371910948e-6,-5.422514761578588e-5,1.8617993711438877e-5
virgin_metal_tax,0.25,New CE-RISE products,729,56.202905180393344,49.73456842470527,63.542914819032944,0.010794527258560232,0.009552195795426781,0.012204275275731244
virgin_metal_tax,0.25,Recycling,729,0.09535526523485172,0.04978325873080858,0.18290231374610455,0.013512115954373679,0.007054431267031214,0.02591778509075833
virgin_metal_tax,0.25,Refurbishment,729,-0.026075705246164038,-0.7083776037504372,1.3612097911306789,-3.057307776955285e-5,-0.000830554087078005,0.0015959826367034228
virgin_metal_tax,0.25,Repair,729,0.001818017885504767,-0.00841496779421437,0.022422495463928528,0.00029033613125493046,-0.0013438642233931284,0.0035808561829424766
virgin_metal_tax,0.25,Reuse,729,-0.01309869039566564,-0.49382013527855206,0.9492832448775749,-5.334562044056918e-5,-0.002011127884207106,0.0038660432571380773
virgin_metal_tax,0.25,Trade,729,-2.857646152278903,-5.724953192388057,-0.3876473241543863,-9.011899730760772e-5,-0.0001805426612813101,-1.222488240289379e-5
virgin_metal_tax,0.5,All industries,729,-37.35776289447534,-323.02860722493904,45.11176299052178,-0.00011622399696000266,-0.0010049765552029909,0.00014034752079153794
virgin_metal_tax,0.5,Basic metals,729,-0.2555693632330076,-1.0498795348812564,0.08133986671964522,-5.781526001763793e-5,-0.0002375052217851862,1.840081880189776e-5
virgin_metal_tax,0.5,New CE-RISE products,729,110.50596906653215,91.79258834056284,125.28718765533466,0.021224164329364064,0.017630006737101304,0.024063097058187564
virgin_metal_tax,0.5,Recycling,729,0.1909317270253159,0.10992948546578052,0.37169421943318903,0.027055576098309483,0.015577324972578339,0.05267014233873135
virgin_metal_tax,0.5,Refurbishment,729,-0.27148003871964055,-1.7981129153480555,2.0033528655956196,-0.00031830319676022495,-0.002108240045094678,0.0023488784822880662
virgin_metal_tax,0.5,Repair,729,0.0029757331786481687,-0.016990522806981843,0.0441540976464074,0.00047522241975285685,-0.0027133741085276957,0.007051377212532496
virgin_metal_tax,0.5,Reuse,729,-0.10674708110461983,-1.116011239982812,1.5716973921585229,-0.00043473729813107813,-0.004545058339065155,0.006400882072768795
virgin_metal_tax,0.5,Trade,729,-15.149543179713874,-41.684712029415095,-5.610696823197941,-0.0004777574158145876,-0.001314572991495079,-0.0001769394616966784
virgin_metal_tax,1.0,All industries,729,-323.95171843826745,-823.0269528976785,-42.83202918781937,-0.0010078484529447915,-0.0025605248992507305,-0.0001332550250434379
virgin_metal_tax,1.0,Basic metals,729,-0.4511773193953559,-2.2946071238197874,0.5375499381730151,-0.00010206596637771181,-0.0005190892438113311,0.00012160530141266162
virgin_metal_tax,1.0,New CE-RISE products,729,214.54731937536945,178.86054625074195,244.73673232904764,0.04120671128721436,0.03435258436937994,0.04700499591299652
virgin_metal_tax,1.0,Recycling,729,0.40699052468750707,0.23484157017751106,0.7611885744062115,0.05767173053784615,0.033277727447566186,0.1078626151935788
virgin_metal_tax,1.0,Refurbishment,729,-1.4830772121982765,-4.123509584738841,3.5746051257243607,-0.0017388689788247912,-0.004834706405976078,0.004191130383302893
virgin_metal_tax,1.0,Repair,729,0.008208059181441324,-0.028725290847000824,0.08961038396522174,0.0013108210687124055,-0.0045874080054055764,0.01431071300748962
virgin_metal_tax,1.0,Reuse,729,-0.605236275430846,-2.437639887482436,2.913225197125021,-0.002464880354469744,-0.009927512471630331,0.01186437734877261
virgin_metal_tax,1.0,Trade,729,-47.71101471025213,-88.63327853402734,-22.246280552904864,-0.0015046190385721381,-0.002795147391840794,-0.0007015607917811414
virgin_metal_tax,2.0,All industries,719,-613.3293401554206,-1315.9316160723542,-169.6174671133631,-0.0019081331922128544,-0.004094004038055611,-0.0005276980861345488
virgin_metal_tax,2.0,Basic metals,719,-0.7513306830460351,-4.101716519431875,0.9091665046914841,-0.00016996708153934668,-0.0009278960673844228,0.0002056729226174608
virgin_metal_tax,2.0,New CE-RISE products,719,430.8148797346129,369.4157907176896,502.3069499885044,0.08274381809723218,0.07095129353020821,0.09647483606835194
virgin_metal_tax,2.0,Recycling,719,0.8123629181262515,0.4595796588641033,1.5660606356895697,0.11511416721375684,0.0651237624422848,0.2219153063956249
virgin_metal_tax,2.0,Refurbishment,719,-2.930842729919432,-8.375144498862173,7.677893866738152,-0.003436335925189162,-0.009819636392389915,0.009002128384949092
virgin_metal_tax,2.0,Repair,719,0.022073959336990558,-0.05353443889143805,0.1856194480483607,0.0035251952155585966,-0.008549410871686144,0.02964329056458047
virgin_metal_tax,2.0,Reuse,719,-1.198662434666871,-5.1033758734216095,5.358629149681832,-0.004881662925266704,-0.020783967257795147,0.021823509686762284
virgin_metal_tax,2.0,Trade,719,-95.41454852884999,-158.45696967030563,-56.85310273913183,-0.0030090021590507927,-0.004997113869867032,-0.0017929247848233584
