instrument,wedge_percent,parameter,value_at_lowest_median,lowest_median_reduction_tonnes,value_at_highest_median,highest_median_reduction_tonnes,conditional_median_range_tonnes,changes_material_outcome_sign
repair_support,2.0,EOL-allocation elasticity,2.0,9.890031039714813,0.5,28.2319495677948,18.341918528079987,false
repair_support,2.0,EOL-productivity elasticity,2.0,12.802303731441498,0.5,28.853711664676666,16.05140793323517,false
repair_support,2.0,Armington elasticity,0.5,16.664443135261536,1.0,23.029043555259705,6.364600419998169,false
reuse_support,0.25,Circular-service elasticity,0.5,-68.29454207420349,2.0,561.5855739116669,629.8801159858704,true
reuse_support,0.25,CET transformation elasticity,2.0,-12.699337005615234,0.5,248.5540589094162,261.25339591503143,true
reuse_support,0.25,Armington elasticity,1.0,69.17739605903625,2.0,181.3394103050232,112.16201424598694,false
reuse_support,0.25,EOL-productivity elasticity,0.5,70.55781000852585,1.0,154.4520173072815,83.89420729875565,false
reuse_support,0.25,EOL-allocation elasticity,0.5,85.816690325737,2.0,155.8445217013359,70.02783137559891,false
reuse_support,0.25,Metal-substitution elasticity,1.0,96.57299160957336,2.0,129.54507368803024,32.97208207845688,false
reuse_support,0.5,Circular-service elasticity,0.5,-87.05186796188354,2.0,1337.196148097515,1424.2480160593987,true
reuse_support,0.5,CET transformation elasticity,2.0,58.948315024375916,0.5,1415.5341752171516,1356.5858601927757,false
reuse_support,0.5,EOL-productivity elasticity,0.5,428.0640196800232,1.0,814.2411441206932,386.17712444067,false
reuse_support,0.5,EOL-allocation elasticity,0.5,423.15721720457077,2.0,721.9628558754921,298.8056386709213,false
reuse_support,0.5,Armington elasticity,0.5,437.6271553635597,2.0,654.8782351016998,217.2510797381401,false
reuse_support,0.5,Metal-substitution elasticity,1.0,543.0516696572304,2.0,619.3815481066704,76.32987844944,false
reuse_support,1.0,Circular-service elasticity,0.5,-120.22662603855133,2.0,2687.4387563467026,2807.665382385254,true
reuse_support,1.0,CET transformation elasticity,2.0,327.0668181180954,0.5,2585.400300502777,2258.3334823846817,false
reuse_support,1.0,Metal-substitution elasticity,1.0,1348.6065582633018,2.0,1818.3057710528374,469.6992127895355,false
reuse_support,1.0,Armington elasticity,1.0,1431.4617419838905,2.0,1627.1604353785515,195.69869339466095,false
reuse_support,1.0,EOL-allocation elasticity,0.5,1501.8806190490723,2.0,1672.446687757969,170.56606870889664,false
reuse_support,1.0,EOL-productivity elasticity,0.5,1496.1037220954895,1.0,1626.7854388952255,130.68171679973602,false
reuse_support,2.0,Circular-service elasticity,0.5,-82.36806452274323,2.0,6029.382673680782,6111.7507382035255,true
reuse_support,2.0,CET transformation elasticity,2.0,888.1081733703613,0.5,4120.168323457241,3232.0601500868797,false
reuse_support,2.0,EOL-productivity elasticity,2.0,2578.4987363815308,0.5,3619.7653465867043,1041.2666102051735,false
reuse_support,2.0,Metal-substitution elasticity,0.5,2562.632673740387,2.0,3174.12297809124,611.490304350853,false
reuse_support,2.0,Armington elasticity,0.5,2749.9971563220024,2.0,3127.748364210129,377.7512078881264,false
reuse_support,2.0,EOL-allocation elasticity,2.0,2854.188449203968,0.5,2919.135538637638,64.94708943367004,false
virgin_metal_tax,0.25,CET transformation elasticity,2.0,-14.967293918132782,0.5,226.630384683609,241.5976786017418,true
virgin_metal_tax,0.25,Armington elasticity,0.5,12.669753432273865,2.0,177.36466032266617,164.6949068903923,false
virgin_metal_tax,0.25,Metal-substitution elasticity,0.5,53.458908915519714,2.0,188.7006962299347,135.24178731441498,false
virgin_metal_tax,0.25,EOL-allocation elasticity,1.0,64.43782067298889,2.0,88.79851192235947,24.360691249370575,false
virgin_metal_tax,0.25,EOL-productivity elasticity,2.0,65.0165439248085,0.5,85.85996967554092,20.843425750732422,false
virgin_metal_tax,0.25,Circular-service elasticity,2.0,68.9673188328743,0.5,84.93150007724762,15.964181244373322,false
virgin_metal_tax,0.5,Armington elasticity,0.5,157.6813541650772,2.0,1875.032950937748,1717.3515967726707,false
virgin_metal_tax,0.5,CET transformation elasticity,2.0,-1.323486089706421,0.5,1376.756667971611,1378.0801540613174,true
virgin_metal_tax,0.5,Metal-substitution elasticity,0.5,480.28780448436737,2.0,1228.5647922158241,748.2769877314568,false
virgin_metal_tax,0.5,Circular-service elasticity,1.0,585.016787648201,2.0,905.3527835011482,320.33599585294724,false
