instrument,wedge_percent,indicator,material,valid_parameter_configurations,median_change_tonnes,lower_quartile_change_tonnes,upper_quartile_change_tonnes,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
repair_support,0.25,observed_route_input_mass,all,729,5945.510143305983,2975.135483826599,11897.590780587772,0.11240090238973426,0.056245453300645086,0.2249260211098129
repair_support,0.25,primary_metal_output,primary,729,-0.0002413848415017128,-0.7480657431297004,0.20038737077265978,-5.4713208815789115e-11,-1.695594344581217e-7,4.5420565736120154e-8
repair_support,0.25,recycled_metal_output,recycled,729,0.002399746717628659,0.00011088083476806787,0.0074305803943843785,3.35802350945509e-7,1.5515822864580516e-8,1.0397790512591534e-6
repair_support,0.5,ce_route_metal_demand,primary,729,5.553846350214975,1.142755756109869,10.101091914420468,2.186023883038494e-5,4.497948300711144e-6,3.975844266709709e-5
repair_support,0.5,ce_route_metal_demand,recycled,729,0.018204702640989775,0.00884906033081671,0.034073531870468084,4.6910018271411344e-5,2.2802326958703987e-5,8.780093987777333e-5
repair_support,0.5,observed_new_product_output,all,729,70.30472016231434,-593.8637370126485,662.0937051289166,4.1272612509078004e-5,-0.00034862962037724435,0.0003886842430123681
repair_support,0.5,observed_recycled_metal_output,recycled,729,0.0007476461655819833,0.00023354404136810558,0.003714860649072449,4.219085486465296e-6,1.3179259397333682e-6,2.0963545818784774e-5
repair_support,0.5,observed_route_input_mass,all,729,11921.54015497321,5962.255500702272,23885.39217013359,0.22537878819416876,0.11271747628109338,0.4515574894575602
repair_support,0.5,primary_metal_output,primary,729,-2.6538242823444307,-8.854240651708096,7.608113810420036e-5,-6.015259335134855e-7,-2.00693595616159e-6,1.7244840935914644e-11
repair_support,0.5,recycled_metal_output,recycled,729,0.023841917071990792,0.008206438518527648,0.08762734574270326,3.3362570078902123e-6,1.148346751432684e-6,1.2261906013364792e-5
repair_support,1.0,ce_route_metal_demand,primary,729,10.444565666041257,-1.0342920737020187,19.155850952328844,4.111037388176714e-5,-4.0710293958034545e-6,7.539846268900954e-5
repair_support,1.0,ce_route_metal_demand,recycled,729,0.039643338761971694,0.01878545592635319,0.06970186597323547,0.00010215326129442278,4.840650780345325e-5,0.00017960830620793064
repair_support,1.0,observed_new_product_output,all,729,192.80537339251825,-1510.8594288497052,1107.057451680304,0.00011318701571282309,-0.0008869548960387765,0.0006499016441997091
repair_support,1.0,observed_recycled_metal_output,recycled,729,0.016699405594788885,0.002725249636700511,0.061811937432487696,9.423738530501508e-5,1.5379014456825747e-5,0.0003488145330202397
repair_support,1.0,observed_route_input_mass,all,729,23964.445482201612,11969.78478896484,48134.29327013327,0.4530520060590241,0.2262908613830821,0.909987178399916
repair_support,1.0,primary_metal_output,primary,729,-8.607269336469471,-20.877007003407925,-0.5768289370462298,-1.9509564959017994e-6,-4.732062032230158e-6,-1.3074624689461332e-7
repair_support,1.0,recycled_metal_output,recycled,729,0.44762740752776153,0.08635922477083113,1.626576179769586,6.263758366413512e-5,1.2084454784945576e-5,0.00022761073122685798
repair_support,2.0,ce_route_metal_demand,primary,729,18.762613832766636,-4.110668454915959,35.017937647066546,7.385066017367836e-5,-1.6179812783894962e-5,0.00013783249158169967
repair_support,2.0,ce_route_metal_demand,recycled,729,0.07548077888823848,0.03346591839342367,0.14205493988674944,0.00019449945360991558,8.623523681070279e-5,0.00036604826549914405
repair_support,2.0,observed_new_product_output,all,729,340.4405111502464,-3796.2436234283086,1727.178777837506,0.0001998566990474745,-0.0022285970514935778,0.0010139458668921852
repair_support,2.0,observed_recycled_metal_output,recycled,729,0.139374309339086,0.04411759953386962,0.37169898091074316,0.000786511257326088,0.00024896258746628344,0.00209755610056758
repair_support,2.0,observed_route_input_mass,all,729,48418.81815912394,24124.43604394621,97749.81682389395,0.915366170867181,0.45607665542980697,1.8479772727000219
repair_support,2.0,primary_metal_output,primary,729,-15.850330711808056,-48.999604982323945,-3.1159943006932735,-3.592696412248886e-6,-1.110643734962971e-5,-7.062831525874011e-7
repair_support,2.0,recycled_metal_output,recycled,729,3.9277685315671533,1.1289045558171438,10.166620271137617,0.0005496221318613434,0.00015797033955805223,0.0014226397157511598
reuse_support,0.25,ce_route_metal_demand,primary,729,65.07743306713537,-94.19433535237674,169.84864681880237,0.0002561482870805168,-0.0003707539851535098,0.0006685334361708375
reuse_support,0.25,ce_route_metal_demand,recycled,729,0.25984827267760374,0.02336574794608249,0.7594645159039977,0.0006695790343514752,6.0209039627257516e-5,0.0019569940255815084
reuse_support,0.25,observed_new_product_output,all,729,6562.903898404381,-7191.064493232665,12213.485192718334,0.003852773880726657,-0.004221537581996843,0.007169965837011191
reuse_support,0.25,observed_recycled_metal_output,recycled,729,-0.0023925812578191596,-0.007812125017160554,0.07020333231572806,-1.3501714212533612e-5,-4.408505626818165e-5,0.00039616850070304084
reuse_support,0.25,observed_route_input_mass,all,729,-8.412985951784195,-454.400201149817,208.09699079704788,-0.00015904896131366917,-0.008590514762273384,0.003934109771305563
reuse_support,0.25,primary_metal_output,primary,729,-119.70943434489891,-422.90437278337777,2.1184011581353843,-2.7133796960013234e-5,-9.585711809100112e-5,4.801648860781855e-7
reuse_support,0.25,recycled_metal_output,recycled,729,-0.06100037692363003,-0.30232236581491634,1.5366112861986494,-8.535929991607812e-6,-4.230469842404812e-5,0.00021502172650332278
reuse_support,0.5,ce_route_metal_demand,primary,729,6.9146789387973735,-481.1555516954714,319.4948907490331,2.7216549307615787e-5,-0.0018938542068635262,0.0012575491247774253
reuse_support,0.5,ce_route_metal_demand,recycled,729,0.30122910398677194,-0.407965027063854,1.111993904046045,0.0007762094798194453,-0.0010512474304665306,0.0028653944735008464
reuse_support,0.5,observed_new_product_output,all,729,20008.794150592144,-2277.0679105521376,34752.41274477846,0.011746227078988652,-0.0013367600541201066,0.02040151588199664
reuse_support,0.5,observed_recycled_metal_output,recycled,729,0.2728030147460885,0.02461969759433913,1.0620751878246288,0.001539470531861531,0.00013893284494822673,0.0059934581581082245
reuse_support,0.5,observed_route_input_mass,all,729,-17.740794634557183,-904.5281769137067,382.4669416003242,-0.0003353928053222326,-0.017100262361256127,0.007230603990898917
reuse_support,0.5,primary_metal_output,primary,729,-457.86124012665823,-1330.9794164355844,-47.8298686593771,-0.00010378057496840894,-0.0003016848708805128,-1.0841300453299996e-5
reuse_support,0.5,recycled_metal_output,recycled,729,7.294205947598471,0.37347102560306666,30.50147066332852,0.001020695845743587,5.2260702133751766e-5,0.004268144417405245
reuse_support,1.0,ce_route_metal_demand,primary,729,-81.56031256631957,-1137.404393320034,653.7292081173183,-0.0003210257899395491,-0.004476885048097199,0.00257311342782987
reuse_support,1.0,ce_route_metal_demand,recycled,729,0.4753067289126297,-1.347739959486185,1.6250886667073694,0.0012247740475442752,-0.003472866729637817,0.004187541017617261
reuse_support,1.0,observed_new_product_output,all,729,39389.24924737343,-11966.101681359105,69579.73165451994,0.023123585691786363,-0.007024738549541842,0.04084700566949951
reuse_support,1.0,observed_recycled_metal_output,recycled,729,1.2487244828549784,0.4564554230682738,3.51105500501475,0.007046749632179123,0.0025758501004631233,0.01981343835548799
reuse_support,1.0,observed_route_input_mass,all,729,-84.9323249181988,-1814.8961236069463,715.4008703091563,-0.0016056603609720481,-0.034310926584950725,0.013524777765905506
reuse_support,1.0,primary_metal_output,primary,729,-1226.8307654070668,-2519.9390789302997,-196.6466752658598,-0.00027807814041576817,-0.0005711790026699024,-4.457268542554822e-5
