instrument,wedge_percent,x_parameter,x_value,y_parameter,y_value,valid_remaining_parameter_configurations,median_reduction_tonnes,minimum_reduction_tonnes,maximum_reduction_tonnes,material_outcome_regime
recycling_support,0.25,Circular-service elasticity,2.0,EOL-allocation elasticity,2.0,81,19.50575864315033,-27.11171180009842,818.7990084290504,parameter_dependent
recycling_support,0.25,Circular-service elasticity,0.5,EOL-productivity elasticity,0.5,81,15.585891127586365,-17.960032761096954,71.94483953714371,parameter_dependent
recycling_support,0.25,Circular-service elasticity,0.5,EOL-productivity elasticity,1.0,81,18.39549094438553,-16.43373417854309,211.05343788862228,parameter_dependent
recycling_support,0.25,Circular-service elasticity,0.5,EOL-productivity elasticity,2.0,81,13.658542096614838,-17.746657073497772,233.0325146317482,parameter_dependent
recycling_support,0.25,Circular-service elasticity,1.0,EOL-productivity elasticity,0.5,81,15.226848423480988,-15.466403603553772,110.03533446788788,parameter_dependent
recycling_support,0.25,Circular-service elasticity,1.0,EOL-productivity elasticity,1.0,81,18.752668380737305,-27.338189601898193,189.25451052188873,parameter_dependent
recycling_support,0.25,Circular-service elasticity,1.0,EOL-productivity elasticity,2.0,81,14.675313949584961,-21.36956614255905,152.41929352283478,parameter_dependent
recycling_support,0.25,Circular-service elasticity,2.0,EOL-productivity elasticity,0.5,81,14.901593506336212,-21.811234056949615,102.48972362279892,parameter_dependent
recycling_support,0.25,Circular-service elasticity,2.0,EOL-productivity elasticity,1.0,81,17.715833365917206,-27.11171180009842,818.7990084290504,parameter_dependent
recycling_support,0.25,Circular-service elasticity,2.0,EOL-productivity elasticity,2.0,81,17.524432837963104,-24.119407892227173,123.85625159740448,parameter_dependent
recycling_support,0.25,Circular-service elasticity,0.5,Metal-substitution elasticity,0.5,81,6.948789358139038,-17.960032761096954,24.6142156124115,parameter_dependent
recycling_support,0.25,Circular-service elasticity,0.5,Metal-substitution elasticity,1.0,81,17.59996849298477,-8.730955839157104,233.0325146317482,parameter_dependent
recycling_support,0.25,Circular-service elasticity,0.5,Metal-substitution elasticity,2.0,81,35.92280429601669,8.693438649177551,71.94483953714371,primary_metal_saving
recycling_support,0.25,Circular-service elasticity,1.0,Metal-substitution elasticity,0.5,81,6.728573381900787,-27.338189601898193,76.5710301399231,parameter_dependent
recycling_support,0.25,Circular-service elasticity,1.0,Metal-substitution elasticity,1.0,81,17.57296520471573,-21.36956614255905,189.25451052188873,parameter_dependent
recycling_support,0.25,Circular-service elasticity,1.0,Metal-substitution elasticity,2.0,81,32.129836440086365,2.945383369922638,152.41929352283478,primary_metal_saving
recycling_support,0.25,Circular-service elasticity,2.0,Metal-substitution elasticity,0.5,81,7.064627945423126,-27.11171180009842,27.126172065734863,parameter_dependent
recycling_support,0.25,Circular-service elasticity,2.0,Metal-substitution elasticity,1.0,81,18.508621156215668,-7.363188743591309,818.7990084290504,parameter_dependent
recycling_support,0.25,Circular-service elasticity,2.0,Metal-substitution elasticity,2.0,81,30.885107159614563,7.910063028335571,197.25103896856308,primary_metal_saving
recycling_support,0.25,EOL-allocation elasticity,0.5,EOL-productivity elasticity,0.5,81,14.549592733383179,-6.899215638637543,110.03533446788788,parameter_dependent
recycling_support,0.25,EOL-allocation elasticity,0.5,EOL-productivity elasticity,1.0,81,17.827844619750977,-14.840965449810028,83.27118813991547,parameter_dependent
recycling_support,0.25,EOL-allocation elasticity,0.5,EOL-productivity elasticity,2.0,81,11.655081927776337,-22.696335077285767,152.41929352283478,parameter_dependent
recycling_support,0.25,EOL-allocation elasticity,1.0,EOL-productivity elasticity,0.5,81,15.9702427983284,-8.707833051681519,69.38893443346024,parameter_dependent
recycling_support,0.25,EOL-allocation elasticity,1.0,EOL-productivity elasticity,1.0,81,13.84021520614624,-22.912907481193542,211.05343788862228,parameter_dependent
recycling_support,0.25,EOL-allocation elasticity,1.0,EOL-productivity elasticity,2.0,81,10.26658147573471,-24.119407892227173,233.0325146317482,parameter_dependent
recycling_support,0.25,EOL-allocation elasticity,2.0,EOL-productivity elasticity,0.5,81,13.083434164524078,-21.811234056949615,76.5710301399231,parameter_dependent
recycling_support,0.25,EOL-allocation elasticity,2.0,EOL-productivity elasticity,1.0,81,22.16474986076355,-27.338189601898193,818.7990084290504,parameter_dependent
recycling_support,0.25,EOL-allocation elasticity,2.0,EOL-productivity elasticity,2.0,81,23.073396861553192,-14.09530121088028,80.13585460186005,parameter_dependent
recycling_support,0.25,EOL-allocation elasticity,0.5,Metal-substitution elasticity,0.5,81,6.5129159688949585,-22.696335077285767,14.549592733383179,parameter_dependent
recycling_support,0.25,EOL-allocation elasticity,0.5,Metal-substitution elasticity,1.0,81,15.011726915836334,-8.041068851947784,65.68651062250137,parameter_dependent
recycling_support,0.25,EOL-allocation elasticity,0.5,Metal-substitution elasticity,2.0,81,34.201336085796356,5.622551262378693,152.41929352283478,primary_metal_saving
recycling_support,0.25,EOL-allocation elasticity,1.0,Metal-substitution elasticity,0.5,81,6.930055558681488,-24.119407892227173,21.272052824497223,parameter_dependent
recycling_support,0.25,EOL-allocation elasticity,1.0,Metal-substitution elasticity,1.0,81,15.858966886997223,-21.36956614255905,233.0325146317482,parameter_dependent
recycling_support,0.25,EOL-allocation elasticity,1.0,Metal-substitution elasticity,2.0,81,29.31063950061798,7.910063028335571,197.25103896856308,primary_metal_saving
recycling_support,0.25,EOL-allocation elasticity,2.0,Metal-substitution elasticity,0.5,81,7.928193986415863,-27.338189601898193,76.5710301399231,parameter_dependent
recycling_support,0.25,EOL-allocation elasticity,2.0,Metal-substitution elasticity,1.0,81,21.234801769256592,-1.9612513780593872,818.7990084290504,parameter_dependent
recycling_support,0.25,EOL-allocation elasticity,2.0,Metal-substitution elasticity,2.0,81,35.438736498355865,2.945383369922638,80.13585460186005,primary_metal_saving
recycling_support,0.25,EOL-productivity elasticity,0.5,Metal-substitution elasticity,0.5,81,6.685330629348755,-21.811234056949615,76.5710301399231,parameter_dependent
recycling_support,0.25,EOL-productivity elasticity,0.5,Metal-substitution elasticity,1.0,81,15.315168738365173,-7.363188743591309,66.77815449237823,parameter_dependent
recycling_support,0.25,EOL-productivity elasticity,0.5,Metal-substitution elasticity,2.0,81,32.129836440086365,9.883483648300171,110.03533446788788,primary_metal_saving
recycling_support,0.25,EOL-productivity elasticity,1.0,Metal-substitution elasticity,0.5,81,6.762442708015442,-27.338189601898193,21.272052824497223,parameter_dependent
recycling_support,0.25,EOL-productivity elasticity,1.0,Metal-substitution elasticity,1.0,81,20.804616510868073,-8.041068851947784,818.7990084290504,parameter_dependent
recycling_support,0.25,EOL-productivity elasticity,1.0,Metal-substitution elasticity,2.0,81,30.987727105617523,2.945383369922638,197.25103896856308,primary_metal_saving
recycling_support,0.25,EOL-productivity elasticity,2.0,Metal-substitution elasticity,0.5,81,7.589192986488342,-24.119407892227173,27.126172065734863,parameter_dependent
recycling_support,0.25,EOL-productivity elasticity,2.0,Metal-substitution elasticity,1.0,81,17.524432837963104,-21.36956614255905,233.0325146317482,parameter_dependent
recycling_support,0.25,EOL-productivity elasticity,2.0,Metal-substitution elasticity,2.0,81,38.38159328699112,5.622551262378693,152.41929352283478,primary_metal_saving
recycling_support,0.5,Armington elasticity,0.5,CET transformation elasticity,0.5,81,29.865471065044403,-12.53782033920288,496.668692946434,parameter_dependent
recycling_support,0.5,Armington elasticity,0.5,CET transformation elasticity,1.0,81,25.274659395217896,-15.353819131851196,414.40333038568497,parameter_dependent
recycling_support,0.5,Armington elasticity,0.5,CET transformation elasticity,2.0,81,21.86318552494049,-65.39156359434128,441.94171595573425,parameter_dependent
recycling_support,0.5,Armington elasticity,1.0,CET transformation elasticity,0.5,81,32.66741406917572,-16.145567655563354,683.8483199477196,parameter_dependent
recycling_support,0.5,Armington elasticity,1.0,CET transformation elasticity,1.0,81,31.411563992500305,-5.120601952075958,174.52936840057373,parameter_dependent
recycling_support,0.5,Armington elasticity,1.0,CET transformation elasticity,2.0,81,24.263435900211334,-20.076373040676117,313.5806609392166,parameter_dependent
recycling_support,0.5,Armington elasticity,2.0,CET transformation elasticity,0.5,81,45.70252311229706,-12.02513176202774,372.21249002218246,parameter_dependent
recycling_support,0.5,Armington elasticity,2.0,CET transformation elasticity,1.0,81,32.0325208902359,-12.040744841098785,249.38035535812378,parameter_dependent
recycling_support,0.5,Armington elasticity,2.0,CET transformation elasticity,2.0,81,22.06754571199417,-33.50950366258621,820.0558096170425,parameter_dependent
recycling_support,0.5,Armington elasticity,0.5,Circular-service elasticity,0.5,81,25.274659395217896,-15.353819131851196,232.72340816259384,parameter_dependent
recycling_support,0.5,Armington elasticity,0.5,Circular-service elasticity,1.0,81,29.611723721027374,-4.270676791667938,496.668692946434,parameter_dependent
recycling_support,0.5,Armington elasticity,0.5,Circular-service elasticity,2.0,81,26.879420936107635,-65.39156359434128,414.40333038568497,parameter_dependent
recycling_support,0.5,Armington elasticity,1.0,Circular-service elasticity,0.5,81,32.50184327363968,-9.850640714168549,313.5806609392166,parameter_dependent
recycling_support,0.5,Armington elasticity,1.0,Circular-service elasticity,1.0,81,30.54499077796936,-11.056396722793579,439.5927299261093,parameter_dependent
recycling_support,0.5,Armington elasticity,1.0,Circular-service elasticity,2.0,81,28.619378209114075,-20.076373040676117,683.8483199477196,parameter_dependent
recycling_support,0.5,Armington elasticity,2.0,Circular-service elasticity,0.5,81,32.60244083404541,-13.588330686092377,372.21249002218246,parameter_dependent
