instrument,wedge_percent,region,outcome,factor,valid_parameter_configurations,median_absolute_change,lower_quartile_absolute_change,upper_quartile_absolute_change,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
recycling_support,1.0,SK,Household disposable income,,729,-0.08499355158710387,-0.9123980773438234,-0.013294614866026677,-0.00011552196634276714,-0.001240117844926869,-1.806984203379997e-5
recycling_support,1.0,SK,Household utility,,729,-0.007623161664923828,-0.07965205108121154,-0.0012577824372783653,-0.00012090757360807117,-0.0012633257239625523,-1.994912731906403e-5
recycling_support,2.0,DE,Factor income,FAC_DE_CAP,729,0.2748551513068378,0.030937011819332838,0.4644862876739353,2.2498414036877822e-5,2.532365493852332e-6,3.802077117684704e-5
recycling_support,2.0,DE,Factor income,FAC_DE_LAB,729,0.2859901550691575,-0.01365304202772677,0.5652117196004838,1.725524273723367e-5,-8.237575668783083e-7,3.4102101932292156e-5
recycling_support,2.0,DE,Household consumption,,729,0.19649394089356065,-0.07376964786089957,0.4327057476621121,1.3344286320740752e-5,-5.009840498739138e-6,2.9385890288430665e-5
recycling_support,2.0,DE,Household disposable income,,729,0.3714365162886679,-0.1426194398663938,0.8277162974700332,1.2901245905999794e-5,-4.953655292505696e-6,2.8749385226966688e-5
recycling_support,2.0,DE,Household utility,,729,-0.0357165010063909,-0.06492199029889889,-0.028938193718204275,-1.45056016224385e-5,-2.636687528946737e-5,-1.1752716473377755e-5
recycling_support,2.0,FR,Factor income,FAC_FR_CAP,729,0.15324587910436094,-0.404502495075576,0.5854528202908114,1.995486226820329e-5,-5.267216073600947e-5,7.623454843666527e-5
recycling_support,2.0,FR,Factor income,FAC_FR_LAB,729,1.2406315768603235,1.0446575374808162,1.4376451652497053,0.00010649263424518443,8.967072507716901e-5,0.00012340377563515185
recycling_support,2.0,FR,Household consumption,,729,0.6885532217565924,0.3397440833505243,0.9866797851864249,6.350260706312904e-5,3.133328600537685e-5,9.099766977516397e-5
recycling_support,2.0,FR,Household disposable income,,729,1.229674244998023,0.6053299936465919,1.7585195945575833,6.361627443218947e-5,3.1316293038192964e-5,9.097569179513977e-5
recycling_support,2.0,FR,Household utility,,729,-0.06306537412456237,-0.1594549199216999,-0.02607284765690565,-3.219993309510533e-5,-8.141452935842303e-5,-1.331228049948654e-5
recycling_support,2.0,IT,Factor income,FAC_IT_CAP,729,1.9333451953716576,1.6766502372920513,2.108942514634691,0.00023360985542485895,0.0002025929050186451,0.0002548276206044013
recycling_support,2.0,IT,Factor income,FAC_IT_LAB,729,1.545174916391261,1.1393564871978015,1.7546569289406762,0.0002322775921484987,0.00017127315402004484,0.0002637678635441527
recycling_support,2.0,IT,Household consumption,,729,1.8815645022550598,1.5349634847370908,2.1166996139800176,0.00020651786496849643,0.00016847542633031644,0.00023232596306855773
recycling_support,2.0,IT,Household disposable income,,729,3.082625114824623,2.516155895544216,3.4544697429519147,0.00020649629539243295,0.00016855013234075408,0.00023140511022060048
recycling_support,2.0,IT,Household utility,,729,-0.029254575521918014,-0.09257649804931134,-0.004324844107031822,-1.8830975957423107e-5,-5.959087691027674e-5,-2.783873426503907e-6
recycling_support,2.0,PL,Factor income,FAC_PL_CAP,729,0.03964304074179381,-0.22055224308860488,0.09960483713075519,1.8650536636982565e-5,-0.00010376140712595884,4.686027180007379e-5
recycling_support,2.0,PL,Factor income,FAC_PL_LAB,729,0.05201262186164968,0.01691915182163939,0.09489963453961536,3.1484443534070235e-5,1.0241554090125642e-5,5.744494467192988e-5
recycling_support,2.0,PL,Household consumption,,729,0.031909418787108734,-0.14390503274626099,0.08866666327230632,1.427180623634991e-5,-6.436296309562425e-5,3.965705067498729e-5
recycling_support,2.0,PL,Household disposable income,,729,0.05307082732906565,-0.24501796072581783,0.14981594978598878,1.4048891027682662e-5,-6.486106969314482e-5,3.965922633326908e-5
recycling_support,2.0,PL,Household utility,,729,-0.008331692075444153,-0.040722414716583444,-0.0034237526524520945,-2.5874476043716657e-5,-0.00012646544477224538,-1.063263082496422e-5
recycling_support,2.0,REU,Factor income,FAC_REU_CAP,729,-0.3883541664108634,-1.3699391800910234,0.005226241424679756,-8.781737602771929e-6,-3.0978028438594375e-5,1.1817944755073042e-7
recycling_support,2.0,REU,Factor income,FAC_REU_LAB,729,-0.8707021307200193,-1.7118257842957973,-0.19264010339975357,-1.8199693486628782e-5,-3.578112821645812e-5,-4.026624848530798e-6
recycling_support,2.0,REU,Household consumption,,729,-0.7790481112897396,-1.8529004119336605,-0.15340567007660866,-1.4991107861891222e-5,-3.565508924232964e-5,-2.9519626752479758e-6
recycling_support,2.0,REU,Household disposable income,,729,-1.3834425527602434,-3.267332697287202,-0.26872274093329906,-1.5026881935814771e-5,-3.5489599903516015e-5,-2.918852606680537e-6
recycling_support,2.0,REU,Household utility,,729,-0.10566448047757149,-0.17921970807947218,-0.09052306599915028,-1.1771585574647002e-5,-1.996602946217646e-5,-1.0084751404371897e-5
recycling_support,2.0,SK,Factor income,FAC_SK_CAP,729,-0.017246840841835365,-0.24529307793272892,-0.0005870668610441498,-4.14896209042309e-5,-0.000590085854201272,-1.4122691647931326e-6
recycling_support,2.0,SK,Factor income,FAC_SK_LAB,729,-0.5041453275989625,-2.91171796294293,-0.014846577360003721,-0.0015752351423259571,-0.009097853751842879,-4.638910473144054e-5
recycling_support,2.0,SK,Household consumption,,729,-0.35710285985987866,-1.7626014302659314,-0.012782743564457633,-0.0009205101925961016,-0.0045434880659267285,-3.295029827931865e-5
recycling_support,2.0,SK,Household disposable income,,729,-0.6796429015666945,-3.345672107723658,-0.027408529262174852,-0.0009237604845816617,-0.004547387576976125,-3.725326375121351e-5
recycling_support,2.0,SK,Household utility,,729,-0.05938687910474982,-0.2872151316223608,-0.0025422740372960106,-0.0009419088526764383,-0.004555391345029787,-4.032187677751548e-5
refurbishment_support,0.25,DE,Factor income,FAC_DE_CAP,729,-0.36425024806521833,-0.94864681805484,-0.13938928279094398,-2.981589704644628e-5,-7.765198791462746e-5,-1.1409783595479458e-5
refurbishment_support,0.25,DE,Factor income,FAC_DE_LAB,729,-0.24536047270521522,-0.6317956664133817,-0.01516098715364933,-1.4803847054665491e-5,-3.811945058745661e-5,-9.147395770205259e-7
refurbishment_support,0.25,DE,Household consumption,,729,4.212713088607416,3.6870881034992635,4.4424291318282485,0.00028609355273174195,0.00025039733601817126,0.00030169401674259687
refurbishment_support,0.25,DE,Household disposable income,,729,-9.903526257257909,-10.885372383520007,-9.456721108406782,-0.0003439829472326535,-0.00037808578247153267,-0.00032846389392266986
refurbishment_support,0.25,DE,Household utility,,729,-0.2927411587734241,-0.3609615485474933,-0.21208186470903456,-0.00011889145095423779,-0.00014659791067751963,-8.613315845980227e-5
refurbishment_support,0.25,FR,Factor income,FAC_FR_CAP,729,0.7936162651749328,-0.34337839751970023,1.0716146397171542,0.00010334048365897643,-4.471290626834854e-5,0.00013953995151615997
refurbishment_support,0.25,FR,Factor income,FAC_FR_LAB,729,0.4979497503954917,-1.1234374369960278,1.4016232234425843,4.274273009840831e-5,-9.643298970211365e-5,0.00012031174448881864
