instrument,wedge_percent,parameter,value,valid_parameter_configurations,median_reduction_percent,lower_quartile_reduction_percent,upper_quartile_reduction_percent,minimum_reduction_percent,maximum_reduction_percent,median_reduction_tonnes,lower_quartile_reduction_tonnes,upper_quartile_reduction_tonnes
recycling_support,0.5,Post-use allocation elasticity,1.0,243,5.971601399692405e-6,2.147466951024259e-6,1.8908941530538453e-5,-6.596243905365034e-6,8.699488299656157e-5,30.33626437187195,10.909322440624237,96.05909886956215
recycling_support,0.5,Post-use allocation elasticity,2.0,243,7.1088706343256865e-6,2.4964907837860007e-6,1.8107956280510857e-5,-4.590647378895164e-6,0.00016142549262181943,36.11369287967682,12.682394444942474,91.99002280831337
recycling_support,1.0,Armington elasticity,0.5,243,1.7458265483083035e-5,6.167708934087028e-6,4.322511002284494e-5,-5.34810694392784e-6,0.00029412242597329696,88.68953597545624,31.33250802755356,219.5873899459839
recycling_support,1.0,Armington elasticity,1.0,243,1.8243933639159048e-5,6.688351286068826e-6,4.354291245486539e-5,-8.016280162413726e-6,0.005354222276980264,92.6807998418808,33.977417320013046,221.20185446739197
recycling_support,1.0,Armington elasticity,2.0,243,2.1230753079595606e-5,9.745890092775671e-6,4.6524399296877386e-5,-7.47577671011906e-6,0.00022478982684746173,107.85410732030869,49.50998544692993,236.34807187318802
recycling_support,1.0,CET transformation elasticity,0.5,243,2.070766483854196e-5,9.241442973013592e-6,4.836554912548392e-5,2.1627027470668364e-6,0.005354222276980264,105.19677269458771,46.94734936952591,245.70127618312836
recycling_support,1.0,CET transformation elasticity,1.0,243,1.892547403937807e-5,7.709715027988465e-6,4.55600820361284e-5,9.606473623725747e-7,0.0008847442216008334,96.14308547973633,39.166035652160645,231.44925472140312
recycling_support,1.0,CET transformation elasticity,2.0,243,1.3160561151507637e-5,3.0590353323757427e-6,3.786807553834145e-5,-8.016280162413726e-6,0.0001770701560417017,66.85681706666946,15.54017060995102,192.37317997217178
recycling_support,1.0,Circular-service elasticity,0.5,243,1.9238470954220725e-5,7.5129122550888374e-6,4.35238749226697e-5,-8.016280162413726e-6,0.0008847442216008334,97.73313754796982,38.16626012325287,221.10514211654663
recycling_support,1.0,Circular-service elasticity,1.0,243,1.8818377542944317e-5,7.297839510668279e-6,4.588323280051872e-5,-7.47577671011906e-6,0.00022478982684746173,95.599025785923,37.07367151975632,233.09088924527168
