sensitivity_profile,stage,scenario,instrument,wedge,termination_status,primal_status,solver_valid,solver_elapsed_seconds,max_scaled_residual,scaled_residuals_above_tolerance,max_bound_violation,bound_violations_above_tolerance,worst_equation_block,worst_equation_tag,worst_equation_indices,worst_equation_scaled_residual,worst_bound_variable,worst_bound_violation,solver_message,armington_elasticity,cet_transformation_elasticity,service_elasticity,eol_allocation_elasticity,eol_productivity_elasticity,material_substitution_elasticity,declared_wedge,source_wedge,trial_wedge,continuation_phase,attempt,trial_accepted
sensitivity_683,continuation_trial,virgin_metal_tax_tax_0_018906250000000003,virgin_metal_tax,0.018906250000000003,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,15.657865872,0.0010104290377800362,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010104290377800362,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,0.02,0.018750000000000003,0.018906250000000003,continuation_trial,20,false
sensitivity_683,continuation_trial,virgin_metal_tax_tax_0_018828125,virgin_metal_tax,0.018828125,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,20.842174417,0.0009978036849692673,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0009978036849692673,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,0.02,0.018750000000000003,0.018828125,continuation_trial,21,true
sensitivity_683,continuation_trial,virgin_metal_tax_tax_0_018984375,virgin_metal_tax,0.018984375,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,11.6518167,0.00097765208094025,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.00097765208094025,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,0.02,0.018828125,0.018984375,continuation_trial,22,true
sensitivity_683,continuation_trial,virgin_metal_tax_tax_0_019296875,virgin_metal_tax,0.019296875,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,18.101196138,0.0009882614057512562,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0009882614057512562,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,0.02,0.018984375,0.019296875,continuation_trial,23,true
sensitivity_683,continuation_trial,virgin_metal_tax_tax_0_019921875000000002,virgin_metal_tax,0.019921875000000002,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,24.334107015,0.0028988502053650667,2,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.0028988502053650667,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,0.02,0.019296875,0.019921875000000002,continuation_trial,24,false
sensitivity_683,continuation_trial,virgin_metal_tax_tax_0_019609375000000002,virgin_metal_tax,0.019609375000000002,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,9.302147021,0.000986349390521446,0,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.000986349390521446,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,0.02,0.019296875,0.019609375000000002,continuation_trial,25,true
sensitivity_683,continuation_trial,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,17.124879722,0.008099588099258814,1,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,0.008099588099258814,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,0.02,0.019609375000000002,0.02,continuation_trial,26,false
sensitivity_683,continuation_trial,virgin_metal_tax_tax_0_0198046875,virgin_metal_tax,0.0198046875,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,19.461626396,0.0010704919465498453,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010704919465498453,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,0.02,0.019609375000000002,0.0198046875,continuation_trial,27,false
sensitivity_683,continuation_trial,virgin_metal_tax_tax_0_01970703125,virgin_metal_tax,0.01970703125,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,9.976235015,0.0010370419145675491,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010370419145675491,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,0.02,0.019609375000000002,0.01970703125,continuation_trial,28,false
sensitivity_683,continuation_trial,virgin_metal_tax_tax_0_019658203125000002,virgin_metal_tax,0.019658203125000002,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,8.638301736,0.0010471527287487792,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010471527287487792,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,0.02,0.019609375000000002,0.019658203125000002,continuation_trial,29,false
sensitivity_683,predictor_target,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,INVALID_MODEL,FEASIBLE_POINT,false,1.424010732,0.9996348151916169,9,0.0,0,regional_circular_household_utility,regional_circular_utility,PL,0.9996348151916169,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,0.02,0.019609375000000002,0.02,predictor_target,30,false
sensitivity_683,baseline,baseline,,0.0,ALMOST_LOCALLY_SOLVED,NEARLY_FEASIBLE_POINT,true,3.596386081,5.06525232646382e-7,0,0.0,0,observed_physical_flow_links,quantity_link,physical_SK_OFMA_REP_route_input_mass,5.06525232646382e-7,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,1.0,2.0,0.5,1.0,2.0,2.0,0.0,0.0,0.0,baseline,1,true
sensitivity_684,direct_target,virgin_metal_tax_tax_0_0025,virgin_metal_tax,0.0025,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,15.948780143,0.0001544129166922703,0,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0001544129166922703,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,0.5,1.0,2.0,2.0,0.0025,0.0,0.0025,direct_target,1,true
sensitivity_684,direct_target,virgin_metal_tax_tax_0_005,virgin_metal_tax,0.005,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,21.422237567,0.00024495291576143163,0,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.00024495291576143163,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,0.5,1.0,2.0,2.0,0.005,0.0025,0.005,direct_target,1,true
sensitivity_684,direct_target,virgin_metal_tax_tax_0_01,virgin_metal_tax,0.01,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,25.057207821,0.0006175491526878574,0,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0006175491526878574,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,0.5,1.0,2.0,2.0,0.01,0.005,0.01,direct_target,1,true
sensitivity_684,direct_target,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,37.005313811,0.0011817955099026056,1,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0011817955099026056,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,0.5,1.0,2.0,2.0,0.02,0.01,0.02,direct_target,1,false
sensitivity_684,continuation_trial,virgin_metal_tax_tax_0_015,virgin_metal_tax,0.015,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,true,20.559058663,0.000698431970544533,0,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.000698431970544533,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,0.5,1.0,2.0,2.0,0.02,0.01,0.015,continuation_trial,2,true
sensitivity_684,continuation_trial,virgin_metal_tax_tax_0_02,virgin_metal_tax,0.02,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,42.070456192,0.0010552200679416757,1,0.0,0,material_composite_production_REU,eqpzs,IND_REU_NEW_ELMA,0.0010552200679416757,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,0.5,1.0,2.0,2.0,0.02,0.015,0.02,continuation_trial,3,false
sensitivity_684,continuation_trial,virgin_metal_tax_tax_0_0175,virgin_metal_tax,0.0175,LOCALLY_INFEASIBLE,INFEASIBLE_POINT,false,24.998236981,0.0010772194271709834,1,0.0,0,material_composite_production_SK,eqpzs,IND_SK_NEW_ELMA,0.0010772194271709834,EOL_FLOW_EOL_DE_ELMA_INC,0.0,,2.0,2.0,0.5,1.0,2.0,2.0,0.02,0.015,0.0175,continuation_trial,4,false
