instrument,wedge_percent,region,activity_group,valid_parameter_configurations,median_output_change_percent,lower_quartile_output_change_percent,upper_quartile_output_change_percent
refurbishment_support,0.5,DE,Metal components,729,-0.00021412128005104424,-0.00061345659736477,-0.00010329122748230426
refurbishment_support,0.5,DE,Other manufacturing,729,-0.00027189653948322967,-0.0005388969799402513,-0.00014358575542994234
refurbishment_support,0.5,DE,Other services,729,-0.0006385213358939269,-0.0007109665833060499,-0.0005673879040712928
refurbishment_support,0.5,DE,Trade,729,-0.0003515965301681416,-0.0004802298944173172,-0.0002373367919639161
refurbishment_support,0.5,FR,Basic metals,729,-0.0002953470515614649,-0.0009880836279877378,1.3542930277297719e-5
refurbishment_support,0.5,FR,Metal components,729,-0.0009170190830243875,-0.0022219422253333134,-0.00036859132793725025
refurbishment_support,0.5,FR,Other manufacturing,729,-0.0017731198856174633,-0.0036535942611326667,-0.0007210206039887112
refurbishment_support,0.5,FR,Other services,729,-0.00028682653070433183,-0.0004688218124049296,-0.0001838369575901667
refurbishment_support,0.5,FR,Trade,729,-0.0002867321228561265,-0.0006195871767866768,-0.0001954026850214956
refurbishment_support,0.5,IT,Basic metals,729,-0.00013771003298836102,-0.00042381868667967483,-5.853882001373931e-6
refurbishment_support,0.5,IT,Metal components,729,-0.0002921760139717879,-0.00039709479620061685,-0.00022301972268933595
refurbishment_support,0.5,IT,Other manufacturing,729,-0.00031109695369790956,-0.0004779221644102299,-0.00016669290194837346
refurbishment_support,0.5,IT,Other services,729,-0.00026869404184948247,-0.0011935880868563246,0.0008710114102750141
refurbishment_support,0.5,IT,Trade,729,-0.00045747707847487886,-0.0007669778732122296,-0.0001650138424125211
refurbishment_support,0.5,PL,Basic metals,729,-0.000693688553908427,-0.002377312110150069,6.798620585787436e-5
refurbishment_support,0.5,PL,Metal components,729,0.0002580569541998325,-0.00040498923251559924,0.0015105473003179841
refurbishment_support,0.5,PL,Other manufacturing,729,-0.002866592856543385,-0.006286639640830098,-0.0011498465468995779
refurbishment_support,0.5,PL,Other services,729,-0.0004898375386975056,-0.0009640971118552667,-0.00039885762199714
refurbishment_support,0.5,PL,Trade,729,-0.00020989077098580456,-0.0007264786120121938,6.253121686007908e-5
refurbishment_support,0.5,REU,Basic metals,729,-4.724790484411695e-5,-0.00010660276268392705,-2.4785812280381226e-5
refurbishment_support,0.5,REU,Metal components,729,-2.2997485060738378e-5,-6.057433108441835e-5,6.643313662513275e-5
refurbishment_support,0.5,REU,Other manufacturing,729,-0.00013981683938402156,-0.0002648608144695253,-7.371790703425418e-5
refurbishment_support,0.5,REU,Other services,729,-0.0006490791537028251,-0.000705888075858141,-0.0005988208481633173
refurbishment_support,0.5,REU,Trade,729,-0.000501190364743387,-0.0007318358069774434,-0.000410209048828936
refurbishment_support,0.5,SK,Basic metals,729,-0.0019790115114703033,-0.006753904570427794,0.00021641968962458688
refurbishment_support,0.5,SK,Metal components,729,-0.0005839504319939458,-0.0023512260297003673,0.003919792847258342
refurbishment_support,0.5,SK,Other manufacturing,729,0.005638431733873983,-0.001767833167995389,0.018829520494594538
refurbishment_support,0.5,SK,Other services,729,-0.0055937254096001055,-0.030974388441213085,-0.0011217234628157907
refurbishment_support,0.5,SK,Trade,729,-0.008083430323880002,-0.02857819856195531,0.007789466599360341
refurbishment_support,1.0,DE,Basic metals,729,-0.00017276713116800882,-0.0004887538335276456,-1.3288402578305868e-5
refurbishment_support,1.0,DE,Metal components,729,-0.0005126535021715464,-0.0012430513026128996,-0.00024184501141721816
refurbishment_support,1.0,DE,Other manufacturing,729,-0.0006346446627114589,-0.0010820780459996908,-0.0003072326039577079
refurbishment_support,1.0,DE,Other services,729,-0.001271770259914096,-0.0014605936365263974,-0.0011142607817093981
refurbishment_support,1.0,DE,Trade,729,-0.0007001843935539052,-0.0009632736467479767,-0.0004825328375090987
refurbishment_support,1.0,FR,Basic metals,729,-0.0007127014207170575,-0.0020196277638015437,-8.985563781975326e-6
refurbishment_support,1.0,FR,Metal components,729,-0.0020899871024050074,-0.004754549911301059,-0.0007730813443520119
refurbishment_support,1.0,FR,Other manufacturing,729,-0.003995475513851608,-0.008051183651336408,-0.0015885193323295133
refurbishment_support,1.0,FR,Other services,729,-0.0005472820535645799,-0.0008626331429617563,-0.00035774530003918086
refurbishment_support,1.0,FR,Trade,729,-0.000611002390027428,-0.001204552678679696,-0.00039266356727241184
refurbishment_support,1.0,IT,Basic metals,729,-0.000352064848952473,-0.0008931407882620041,-3.673471121740422e-5
refurbishment_support,1.0,IT,Metal components,729,-0.0006337250722632739,-0.0009390441673584164,-0.0004639156567454025
refurbishment_support,1.0,IT,Other manufacturing,729,-0.0006422546938722479,-0.0010293074605982621,-0.00033403494197337157
refurbishment_support,1.0,IT,Other services,729,-0.00086218612638245,-0.0028293094037068547,0.0015828887167446148
refurbishment_support,1.0,IT,Trade,729,-0.0009318361557375588,-0.0018550056617994205,-0.00036792508202321473
refurbishment_support,1.0,PL,Basic metals,729,-0.0016851047488998783,-0.004870160504233414,3.2600239853972275e-5
refurbishment_support,1.0,PL,Metal components,729,0.0007032954010648377,-0.0007092537729003446,0.003076298363051983
refurbishment_support,1.0,PL,Other manufacturing,729,-0.006371034914577692,-0.01274245047085076,-0.0024728983041955874
refurbishment_support,1.0,PL,Other services,729,-0.0010146150074442214,-0.0021527529522227594,-0.0008168270502096684
refurbishment_support,1.0,PL,Trade,729,-0.000511826025351245,-0.0018749652471510177,-9.05560225694766e-5
refurbishment_support,1.0,REU,Basic metals,729,-0.00010450624736702077,-0.00021643929118964745,-5.1772323039767745e-5
refurbishment_support,1.0,REU,Metal components,729,-1.4610975729300734e-5,-0.00010813301309919819,0.00014840702471374752
refurbishment_support,1.0,REU,Other manufacturing,729,-0.0003002185554712433,-0.0005440303302850502,-0.00016077510446299573
refurbishment_support,1.0,REU,Other services,729,-0.001310674432808412,-0.0014240853449698498,-0.001202863185356673
refurbishment_support,1.0,REU,Trade,729,-0.000980017652219001,-0.001495341955570773,-0.000750214950684392
