instrument,wedge_percent,route,valid_parameter_configurations,median_change_tonnes,lower_quartile_change_tonnes,upper_quartile_change_tonnes,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
repair_support,0.5,REP,729,11921.542437382595,5962.259847864385,23885.369189467463,0.237224103060099,0.11864167342857727,0.475289612228631
repair_support,0.5,REU,729,-0.00022000947090494716,-0.007659329396153325,0.0033191339778761986,-1.4237556433456695e-5,-0.000495661091641281,0.00021479237746375296
repair_support,1.0,INC,729,-0.021687802341645745,-0.026970075445197694,-0.01694167239053035,-1.131370182292127e-5,-1.4069262847473132e-5,-8.837826294645826e-6
repair_support,1.0,REC,729,0.06679725117299012,0.010901231488987737,0.24724770877365504,9.423686161627216e-5,1.5379343090245006e-5,0.00034881447525889693
repair_support,1.0,REP,729,23964.28718855286,11969.655798000618,48134.113530136274,0.47685998381826916,0.23818150004775954,0.9578099452109594
repair_support,1.0,REU,729,-0.0005141508445455356,-0.015578974112820054,0.006352686567821064,-3.3272438838276755e-5,-0.0010081680674668126,0.0004111038181283174
repair_support,2.0,INC,729,-0.042593360329453794,-0.05483872330708692,-0.034793481935368686,-2.221933651056672e-5,-2.8607276757345434e-5,-1.8150436535566834e-5
repair_support,2.0,REC,729,0.5574961039536792,0.17647060882367607,1.4867955888689521,0.0007865096583665597,0.0002489628847149404,0.00209755562840559
repair_support,2.0,REP,729,48417.98088568285,24122.913098267196,97749.20005475004,0.9634585581451733,0.4800164452704449,1.9450894403661865
repair_support,2.0,REU,729,-0.0011886802121664486,-0.03183457294051528,0.01276803250747316,-7.692351393983802e-5,-0.0020601228070377038,0.0008262625359791775
reuse_support,0.25,INC,729,-0.13883151204005498,-0.1920587152148775,-0.10694296979870041,-7.242312089087842e-5,-0.00010018972887179078,-5.5788080936021565e-5
reuse_support,0.25,REC,729,-0.0095711326729392,-0.03124843624081311,0.28085891087100734,-1.350285362604057e-5,-4.408496622299838e-5,0.00039623280677978306
reuse_support,0.25,REP,729,-10.271608800478555,-458.1148199637272,207.09140135960902,-0.00020439244313194107,-0.009115924204879479,0.004120865416285695
reuse_support,0.25,REU,729,2.0116293790963953,1.094496133595944,3.8420066094065293,0.13017933587258296,0.07082854389938906,0.248629232615045
reuse_support,0.5,INC,729,-0.32173921295870356,-0.43967286918409787,-0.21411173094851024,-0.00016783911356321951,-0.0002293606176973154,-0.00011169394863440867
reuse_support,0.5,REC,729,1.0912109201254059,0.09847845293620211,4.248299619724035,0.0015394689252662501,0.0001389323689009226,0.005993456562031074
reuse_support,0.5,REP,729,-23.87788181073445,-913.5701626511647,375.8963319709538,-0.00047514062255606647,-0.018178928067044058,0.007479876925637869
reuse_support,0.5,REU,729,4.036463417212717,2.194222133486354,7.713471379437229,0.26121318985844283,0.14199553012219548,0.49916480236452027
