instrument,wedge_percent,region,factor_group,valid_parameter_configurations,median_utilisation_change_percentage_points,lower_quartile_utilisation_change_percentage_points,upper_quartile_utilisation_change_percentage_points
recycling_support,0.5,PL,Capital,729,-3.5093990891077453e-5,-0.00010165953919782922,-1.0443625730882644e-5
recycling_support,0.5,PL,Labour,729,-2.9527593592426626e-6,-2.735057815783648e-5,1.0755070167789427e-7
recycling_support,0.5,REU,Capital,729,-1.7380333727778918e-6,-5.182214224408455e-6,6.41272146495453e-8
recycling_support,0.5,REU,Labour,729,4.3923186199279485e-7,-1.4410368009976082e-6,9.208704909724474e-7
recycling_support,0.5,SK,Capital,729,-2.998445276514161e-5,-0.000136675240869355,-6.987330292140825e-6
recycling_support,0.5,SK,Labour,729,-6.409910745519554e-5,-0.0003465854058082307,-1.4090236766239883e-5
recycling_support,1.0,DE,Capital,729,-1.0230032931879407e-6,-7.984939931482415e-6,3.6940280834230066e-7
recycling_support,1.0,DE,Labour,729,-9.113320542653014e-7,-1.1178598258165806e-5,5.352684628867621e-7
recycling_support,1.0,FR,Capital,729,-2.8864463919031635e-5,-5.94307051793308e-5,-6.2543270340498225e-6
recycling_support,1.0,FR,Labour,729,-2.4562246458970094e-6,-1.546207675229283e-5,1.3197259951525098e-7
recycling_support,1.0,IT,Capital,729,-1.3698521150740106e-5,-3.576126945681324e-5,-2.703142432114447e-6
recycling_support,1.0,IT,Labour,729,-5.21688835464218e-6,-3.5912035578622437e-5,4.3532710769511596e-8
recycling_support,1.0,PL,Capital,729,-3.8529941959186687e-5,-0.00011491978645361556,-8.163497378088636e-6
recycling_support,1.0,PL,Labour,729,-3.4527688486107877e-6,-2.3915722924261473e-5,-4.262912245422967e-8
recycling_support,1.0,REU,Capital,729,-1.1452961579117016e-6,-8.097312265142875e-6,4.728336056025739e-7
recycling_support,1.0,REU,Labour,729,2.609938931641409e-7,-2.082468097963641e-6,7.81928555237954e-7
recycling_support,1.0,SK,Capital,729,-4.272341012079295e-5,-0.0002525866104163832,-9.269148781854142e-6
recycling_support,1.0,SK,Labour,729,-0.0001674261965955992,-0.0023362786731428997,-1.9849533561266952e-5
recycling_support,2.0,DE,Capital,729,-8.850189581188772e-7,-1.0777438996800726e-5,4.540431586264049e-7
recycling_support,2.0,DE,Labour,729,-2.26005389958317e-6,-1.891574699097731e-5,2.2158140877692745e-7
recycling_support,2.0,FR,Capital,729,-7.976573670465115e-5,-0.0001628609124337821,-3.126456361579599e-5
recycling_support,2.0,FR,Labour,729,-1.1434134639110027e-6,-1.4069180276354842e-5,4.1272757433929996e-7
recycling_support,2.0,IT,Capital,729,-5.7713293921679565e-6,-3.747701343703724e-5,-2.5521484925405957e-8
recycling_support,2.0,IT,Labour,729,-1.810166806448521e-5,-8.225851331200573e-5,-8.107277293945003e-7
recycling_support,2.0,PL,Capital,729,-2.1474551736844205e-5,-0.00015896073397581034,-3.1297544111907882e-6
recycling_support,2.0,PL,Labour,729,-4.983593371310491e-6,-3.3679349509263545e-5,-2.734924509084635e-7
recycling_support,2.0,REU,Capital,729,-7.158986070621154e-7,-1.3361445538873085e-5,5.715891759905389e-7
recycling_support,2.0,REU,Labour,729,-1.586285991450609e-7,-5.469914732270098e-6,6.436100985496296e-7
recycling_support,2.0,SK,Capital,729,-5.309654415031062e-5,-0.0005849417955450242,-9.66748877617718e-6
recycling_support,2.0,SK,Labour,729,-0.0015808824866181403,-0.009123703999969202,-4.923697617398304e-5
refurbishment_support,0.25,DE,Capital,729,-9.265809819414272e-6,-5.077723362889586e-5,5.056054575014457e-7
refurbishment_support,0.25,DE,Labour,729,-3.162789063981819e-6,-2.476149721930554e-5,4.1243044535121953e-7
refurbishment_support,0.25,FR,Capital,729,-2.15207923259797e-5,-0.00016826620279353222,-4.206172188325752e-7
refurbishment_support,0.25,FR,Labour,729,-8.695999815788724e-5,-0.0002370320598688025,-8.490191216736775e-6
refurbishment_support,0.25,IT,Capital,729,-5.79097170216869e-6,-4.545483682782958e-5,3.3919207442778543e-7
refurbishment_support,0.25,IT,Labour,729,-1.0991630228218696e-5,-5.352036490657852e-5,-7.333639584494733e-7
refurbishment_support,0.25,PL,Capital,729,-1.259575296286286e-5,-0.00010907155347794628,-1.0159567298551053e-6
refurbishment_support,0.25,PL,Labour,729,-9.179290094696313e-6,-0.00012395935363729293,-6.085746351303101e-7
refurbishment_support,0.25,REU,Capital,729,-4.0628887953975124e-5,-0.00010313824050367515,-3.4549630711921964e-6
refurbishment_support,0.25,REU,Labour,729,-5.094704713659581e-6,-3.809992049630395e-5,5.571174299667803e-7
refurbishment_support,0.25,SK,Capital,729,-5.7300379630031983e-5,-0.001372655588915972,-3.6312509332780962e-6
refurbishment_support,0.25,SK,Labour,729,-0.00023872141950986858,-0.006302537837499234,-4.793388541646237e-6
refurbishment_support,0.5,DE,Capital,729,-2.5557362415273843e-5,-0.00013399371662226045,-6.77546119209893e-7
refurbishment_support,0.5,DE,Labour,729,-8.676406193508512e-6,-7.443927200201372e-5,-6.916178185711885e-7
refurbishment_support,0.5,FR,Capital,729,-0.00015451906426600104,-0.0005316634886010085,-4.223564831207227e-6
refurbishment_support,0.5,FR,Labour,729,-7.516255804418392e-5,-0.0003562122622868813,-6.168220423319326e-6
refurbishment_support,0.5,IT,Capital,729,-2.031163800486624e-5,-0.0002148374530053232,-8.897685033204539e-7
refurbishment_support,0.5,IT,Labour,729,-3.2605704547439274e-5,-0.00018681703574108255,-2.7631711141395954e-6
refurbishment_support,0.5,PL,Capital,729,-5.1356284280767994e-5,-0.0005635668647085978,-6.0585632066789685e-6
refurbishment_support,0.5,PL,Labour,729,-3.021745060838299e-5,-0.0005596768766658045,-3.5072874937647214e-6
refurbishment_support,0.5,REU,Capital,729,-6.380263687377763e-5,-0.00016976221139941572,-6.760453219456508e-6
refurbishment_support,0.5,REU,Labour,729,-5.526862834059898e-6,-4.4477638638795725e-5,6.067806812559695e-7
refurbishment_support,0.5,SK,Capital,729,-0.002382073495477144,-0.024603982607562802,-5.305724370963105e-5
refurbishment_support,0.5,SK,Labour,729,-0.006944335688874315,-0.04984154018264908,-0.00010343159464465401
refurbishment_support,1.0,DE,Capital,729,-9.65854125900556e-5,-0.0003218382897962613,-3.670482007223086e-6
refurbishment_support,1.0,DE,Labour,729,-2.959014414605221e-5,-0.00022475151186807096,-1.8958916547795468e-6
refurbishment_support,1.0,FR,Capital,729,-0.0003281663924270539,-0.000979781720766848,-2.4295663902940134e-5
refurbishment_support,1.0,FR,Labour,729,-9.430791204634303e-5,-0.0004942102644678315,-6.602950930467699e-6
refurbishment_support,1.0,IT,Capital,729,-8.248588898585041e-5,-0.0007344657064312088,-4.477816084591524e-6
refurbishment_support,1.0,IT,Labour,729,-0.00012501312018908806,-0.0005793488950134318,-8.477858193245424e-6
refurbishment_support,1.0,PL,Capital,729,-0.00016895800103444714,-0.0017894654315120384,-1.718017703655761e-5
refurbishment_support,1.0,PL,Labour,729,-0.00012320518310016126,-0.0013937613825287798,-1.116141884471844e-5
refurbishment_support,1.0,REU,Capital,729,-0.0001438874728032502,-0.00037411968450973276,-1.4386302282787256e-5
refurbishment_support,1.0,REU,Labour,729,-1.4420570737527783e-5,-0.00011700325003305423,9.697930014596068e-7
refurbishment_support,1.0,SK,Capital,729,-0.01275408249128418,-0.06478679212575944,-0.0006153554540366812
refurbishment_support,1.0,SK,Labour,729,-0.046292594709507195,-0.1412006209698169,-0.004124917180881038
refurbishment_support,2.0,DE,Capital,729,-0.00037619023069979107,-0.0013105717640460313,-2.543840308399936e-5
refurbishment_support,2.0,DE,Labour,729,-8.702349917344421e-5,-0.0004586743156620443,-7.204299123930724e-6
refurbishment_support,2.0,FR,Capital,729,-0.0009169552388499369,-0.0026584223215553315,-6.792160003321612e-5
refurbishment_support,2.0,FR,Labour,729,-0.00012493985188655188,-0.0009576486433182652,-7.899243914533116e-6
refurbishment_support,2.0,IT,Capital,729,-0.00029107927728144745,-0.0027273983075448704,-1.882630749072689e-5
refurbishment_support,2.0,IT,Labour,729,-0.000272221934849437,-0.0020317656772350645,-1.547048731342926e-5
refurbishment_support,2.0,PL,Capital,729,-0.0005343251185840892,-0.006467102732210517,-2.6552331899853954e-5
refurbishment_support,2.0,PL,Labour,729,-0.0002761528796302315,-0.003663682506582777,-1.5034370437483346e-5
refurbishment_support,2.0,REU,Capital,729,-0.00038183343730180397,-0.000905062438905091,-8.892693119655348e-5
refurbishment_support,2.0,REU,Labour,729,-4.627815812785485e-5,-0.0002760767325638014,1.2117499947894572e-5
refurbishment_support,2.0,SK,Capital,729,-0.02046146874749022,-0.10843200265220343,-0.0007885551295605531
refurbishment_support,2.0,SK,Labour,729,-0.14163084020731853,-0.3221189254993706,-0.03560464909537764
repair_support,0.25,DE,Capital,729,6.202061197946307e-7,-1.1643150110707268e-6,1.9223421077185776e-6
repair_support,0.25,DE,Labour,729,9.445511373051829e-7,7.297605963962894e-7,2.6543864439787512e-6
repair_support,0.25,FR,Capital,729,1.7587820089204342e-7,-1.6651351297802819e-6,1.821784334499199e-6
repair_support,0.25,FR,Labour,729,7.893127040858872e-7,2.712480906552628e-7,2.621156602877761e-6
repair_support,0.25,IT,Capital,729,6.823749121309675e-7,-9.479794060851532e-7,1.739098332009803e-6
repair_support,0.25,IT,Labour,729,2.650119013125618e-7,-1.6960813975508415e-6,1.2055242248898423e-6
repair_support,0.25,PL,Capital,729,8.10777578408306e-7,1.7103194416279166e-7,1.6612032416318812e-6
repair_support,0.25,PL,Labour,729,8.697690456749285e-7,1.8136515622657612e-7,1.887689771162826e-6
repair_support,0.25,REU,Capital,729,8.165957132710844e-7,6.397428142790318e-8,1.8269969315198864e-6
repair_support,0.25,REU,Labour,729,9.731810912683159e-7,5.662540436546237e-8,2.079025307466509e-6
repair_support,0.25,SK,Capital,729,-4.465078307092085e-8,-2.9820806934921507e-6,9.135216361144671e-7
repair_support,0.25,SK,Labour,729,-8.506116921935813e-8,-4.417852772498065e-6,8.494748793275164e-7
repair_support,0.5,DE,Capital,729,5.0463189182892165e-8,-3.047745522621881e-6,1.0124509675080162e-6
repair_support,0.5,DE,Labour,729,7.690227343815081e-7,-2.3019981476579687e-7,9.718681526216244e-7
repair_support,0.5,FR,Capital,729,-2.042888413988919e-6,-7.275497782011087e-6,9.431503467105529e-7
repair_support,0.5,FR,Labour,729,5.272365433128812e-7,-1.789213321945482e-6,9.420190516529203e-7
repair_support,0.5,IT,Capital,729,-6.581187816934175e-8,-7.075315866522658e-6,9.694375524560428e-7
repair_support,0.5,IT,Labour,729,-2.113248731561157e-6,-9.071930739956713e-6,6.251340889384949e-7
repair_support,0.5,PL,Capital,729,6.027996213298081e-7,-1.4524530245196843e-6,9.66644730926447e-7
repair_support,0.5,PL,Labour,729,7.226257814352266e-7,-9.962875857638664e-7,1.0019271634575944e-6
repair_support,0.5,REU,Capital,729,1.1084253515036835e-7,-1.515865255541371e-6,9.218841467983907e-7
repair_support,0.5,REU,Labour,729,7.432504278703789e-7,-9.7776100549396e-7,1.3614321336952173e-6
repair_support,0.5,SK,Capital,729,-2.9069270213177845e-6,-2.340701262815159e-5,7.760158848846288e-7
repair_support,0.5,SK,Labour,729,-6.032852417625634e-6,-4.273651462716188e-5,4.917332985243661e-7
repair_support,1.0,DE,Capital,729,-2.373242058428815e-6,-6.703995603096757e-6,8.275295670934213e-7
repair_support,1.0,DE,Labour,729,3.8246288358578795e-7,-2.632847695416274e-6,9.678391865719504e-7
repair_support,1.0,FR,Capital,729,-8.436765186470296e-6,-2.235487990276397e-5,-6.30320529104722e-7
repair_support,1.0,FR,Labour,729,-5.850011142172207e-7,-6.823925813304044e-6,8.069579116032344e-7
repair_support,1.0,IT,Capital,729,-2.240055230195992e-6,-2.095180857697443e-5,8.306838550353746e-7
repair_support,1.0,IT,Labour,729,-8.674915785711335e-6,-2.426449327019853e-5,-1.394270709997869e-6
repair_support,1.0,PL,Capital,729,-2.724124226194391e-6,-1.6822538884131433e-5,6.44119757531314e-7
repair_support,1.0,PL,Labour,729,-7.176108596240738e-7,-9.411431034500595e-6,8.070077162081191e-7
repair_support,1.0,REU,Capital,729,-6.017725207030367e-7,-3.7611948555671404e-6,9.413889223708338e-7
