instrument,wedge_percent,family,valid_parameter_configurations,median_avoided_new_product_tonnes,lower_quartile_avoided_new_product_tonnes,upper_quartile_avoided_new_product_tonnes,median_avoided_new_product_percent,lower_quartile_avoided_new_product_percent,upper_quartile_avoided_new_product_percent,median_avoided_new_product_primary_metal_tonnes,lower_quartile_avoided_new_product_primary_metal_tonnes,upper_quartile_avoided_new_product_primary_metal_tonnes,median_avoided_new_product_recycled_metal_tonnes,lower_quartile_avoided_new_product_recycled_metal_tonnes,upper_quartile_avoided_new_product_recycled_metal_tonnes
repair_support,1.0,OFMA,729,-313.9739911594193,-683.9758408753103,-13.846715249948659,-0.009290964511772174,-0.020239877962552038,-0.0004097452133433761,2.266506970714273,-4.539658681386161,12.38301074383114,0.0035497568752619496,-0.014887721798470099,0.027063638140233333
repair_support,1.0,RATV,729,-7.351521699922159,-819.4304242739454,2298.9703883784823,-9.173688948410798e-6,-0.0010225365759626416,0.002868799155529211,-0.041032457374967635,-4.831315260624251,4.170106231675163,-0.0034367385215112733,-0.023962243715253795,0.005499587473866807
repair_support,1.0,all CE-RISE families,729,-192.80537339251825,-1107.057451680304,1510.8594288497052,-0.0001131870157128231,-0.0006499016441997092,0.0008869548960387766,5.1934904432031,-4.176676686259437,23.240409987252384,-0.0007354710024453509,-0.027529030030565532,0.0264699427405907
repair_support,2.0,ELMA,729,0.062375330249778926,-37.7159769894206,58.611248176617664,7.183951808007912e-8,-4.34386094628963e-5,6.750431310293627e-5,-0.9579694734420627,-27.131583404028788,41.76947792485589,-0.009011039726491532,-0.059703108141521355,0.0540896574024643
repair_support,2.0,OFMA,729,-485.97598631791624,-963.9223053083261,-91.6740113766869,-0.014380763278448335,-0.028523916575554878,-0.0027127724280834723,7.449464014815282,-4.99925756583302,34.39533891178169,0.014178543859995332,-0.018968071738403133,0.07265599587444503
repair_support,2.0,RATV,729,-1.5300887287594378,-1366.6154777097981,4677.271318375599,-1.909340492221767e-6,-0.0017053483368927908,0.005836591926615051,-1.7279788582272886,-12.670622230471054,7.313775254559005,-0.009106438234017578,-0.05962013948404987,0.012464380758016258
repair_support,2.0,all CE-RISE families,729,-340.4405111502464,-1727.178777837506,3796.2436234283086,-0.00019985669904747452,-0.0010139458668921855,0.002228597051493578,11.797928496185461,-8.661508728998646,51.20788396644612,0.0022424102003844454,-0.06792547342974341,0.0555196777140288
reuse_support,0.25,ELMA,729,-95.80557096886332,-231.94982029273524,91.54096034400573,-0.00011034211795318476,-0.0002671434883288672,0.00010543043939593912,-11.792803456555703,-177.11910413431178,239.51976430619834,-0.09999200148149967,-0.3348452806054567,0.1562610110580902
reuse_support,0.25,OFMA,729,-2939.0083040488535,-3567.9801812919586,-965.0271476147061,-0.08696969373764775,-0.10558192135812369,-0.028556610527757015,-52.795434305499825,-67.77085076174376,1.6872826349609211,-0.18558367313724394,-0.33814368623941027,-0.00041526960361148915
reuse_support,0.25,RATV,729,-3853.0754640148953,-11842.583706696983,11466.286687459797,-0.004808108748696275,-0.014777917240168957,0.014308350265112263,4.082012495076924,-43.46490893340524,37.5192891053448,-0.003469195052614449,-0.46061769954921505,0.1487882388865236
reuse_support,0.25,all CE-RISE families,729,-6562.903898404381,-12213.485192718335,7191.064493232662,-0.0038527738807266577,-0.007169965837011193,0.004221537581996842,-42.970481709488894,-149.94825731818196,122.3801932896283,-0.21792110708405754,-0.7167074894978418,0.014633797054781628
