product_region	product_code	activity_region	activity_code	value_meur
DE	CPA_F	DE	H52	134.408
DE	CPA_F	DE	I	21.775
DE	CPA_F	DE	J58	4.991
DE	CPA_F	DE	J59_J60	2.996
DE	CPA_F	DE	J61	247.383
DE	CPA_F	DE	J62_J63	156.311
DE	CPA_F	DE	M69_M70	47.238
DE	CPA_F	DE	M71	546.898
DE	CPA_F	DE	M72	0.943
DE	CPA_F	DE	M73	8.358
DE	CPA_F	DE	M74_M75	6.182
DE	CPA_F	DE	N77	94.737
DE	CPA_F	DE	N78	2.93
DE	CPA_F	DE	N80-N82	345.916
DE	CPA_F	DE	O84	216.321
DE	CPA_F	DE	P85	6.255
DE	CPA_F	DE	R90-R92	130.037
DE	CPA_F	DE	R93	483.213
DE	CPA_F	DE	S94	257.617
DE	CPA_F	DE	S96	12.718
DE	CPA_G45	DE	C20	11.835
DE	CPA_G45	DE	C29	15313.322
DE	CPA_G45	DE	G45	71323.019
DE	CPA_G45	DE	G46	725.607
DE	CPA_G45	DE	G47	794.604
DE	CPA_G45	DE	H49	127.124
DE	CPA_G45	DE	H52	73.222
DE	CPA_G45	DE	R93	56.619
DE	CPA_G46	DE	B	129.801
DE	CPA_G46	DE	C10-C12	3837.888
DE	CPA_G46	DE	C13-C15	361.432
DE	CPA_G46	DE	C16	216.467
DE	CPA_G46	DE	C17	511.275
DE	CPA_G46	DE	C18	78.144
DE	CPA_G46	DE	C19	1913.896
DE	CPA_G46	DE	C20	4790.014
DE	CPA_G46	DE	C21	21.092
DE	CPA_G46	DE	C22	2100.55
DE	CPA_G46	DE	C23	1232.379
DE	CPA_G46	DE	C24	452.998
DE	CPA_G46	DE	C25	1550.22
DE	CPA_G46	DE	C26	1881.776
DE	CPA_G46	DE	C27	4329.951
DE	CPA_G46	DE	C28	4948.484
DE	CPA_G46	DE	C29	1019.446
DE	CPA_G46	DE	C30	299.099
DE	CPA_G46	DE	C31_C32	1663.531
DE	CPA_G46	DE	C33	257.798
DE	CPA_G46	DE	D35	290.529
DE	CPA_G46	DE	E37-E39	415.757
DE	CPA_G46	DE	F	213.915
DE	CPA_G46	DE	G45	175.725
DE	CPA_G46	DE	G46	224039.687
DE	CPA_G46	DE	G47	6478.528
DE	CPA_G46	DE	H49	506.444
DE	CPA_G46	DE	H50	846.448
DE	CPA_G46	DE	H51	84.587
DE	CPA_G46	DE	H52	77.234
DE	CPA_G46	DE	J58	302.446
DE	CPA_G46	DE	K64	178.571
DE	CPA_G46	DE	M74_M75	9.715
DE	CPA_G47	DE	B	1.006
DE	CPA_G47	DE	C10-C12	481.594
DE	CPA_G47	DE	C13-C15	659.963
DE	CPA_G47	DE	C16	20.948
DE	CPA_G47	DE	C17	151.489
DE	CPA_G47	DE	C18	33.061
DE	CPA_G47	DE	C20	775.16
DE	CPA_G47	DE	C21	2868.49
DE	CPA_G47	DE	C22	778.979
DE	CPA_G47	DE	C23	154.671
DE	CPA_G47	DE	C24	32.927
DE	CPA_G47	DE	C25	990.031
DE	CPA_G47	DE	C26	242.518
DE	CPA_G47	DE	C27	863.589
DE	CPA_G47	DE	C28	1323.697
DE	CPA_G47	DE	C29	3.932
DE	CPA_G47	DE	C30	30.702
DE	CPA_G47	DE	C31_C32	1056.163
DE	CPA_G47	DE	C33	800.945
DE	CPA_G47	DE	F	191.753
DE	CPA_G47	DE	G45	137.924
DE	CPA_G47	DE	G46	4672.2
DE	CPA_G47	DE	G47	173615.345
DE	CPA_G47	DE	H51	311.494
DE	CPA_G47	DE	I	663.628
DE	CPA_G47	DE	J58	650.808
DE	CPA_G47	DE	J62_J63	1630.678
DE	CPA_G47	DE	M74_M75	59.173
DE	CPA_G47	DE	N79	68.374
DE	CPA_G47	DE	R90-R92	238.564
DE	CPA_G47	DE	R93	1196.807
DE	CPA_G47	DE	S96	811.623
DE	CPA_H49	DE	B	5.031
DE	CPA_H49	DE	C10-C12	135.758
DE	CPA_H49	DE	C16	15.961
DE	CPA_H49	DE	C17	119.596
DE	CPA_H49	DE	C19	235.79
DE	CPA_H49	DE	C29	57.018
DE	CPA_H49	DE	C31_C32	98.735
DE	CPA_H49	DE	D35	346.534
DE	CPA_H49	DE	H49	95664.558
DE	CPA_H49	DE	H50	116.436
DE	CPA_H49	DE	H52	5872.81
DE	CPA_H49	DE	N79	92.506
DE	CPA_H50	DE	H49	433.655
DE	CPA_H50	DE	H50	24382.138
DE	CPA_H50	DE	H52	510.548
DE	CPA_H51	DE	H51	33489.597
DE	CPA_H52	DE	C20	4.931
DE	CPA_H52	DE	F	117.557
DE	CPA_H52	DE	H49	5252.047
DE	CPA_H52	DE	H50	707.771
DE	CPA_H52	DE	H51	320.892
DE	CPA_H52	DE	H52	122189.558
DE	CPA_H53	DE	G45	938.904
DE	CPA_H53	DE	G46	6458.629
DE	CPA_H53	DE	G47	1394.903
