product_region	product_code	use_region	use_code	value_meur
DE	CPA_A01	SK	C13-15	0.169
DE	CPA_A01	SK	C16	0.001
DE	CPA_A01	SK	C19	0.006
DE	CPA_A01	SK	C20	1.177
DE	CPA_A01	SK	C21	0.056
DE	CPA_A01	SK	C22	1.378
DE	CPA_A01	SK	C23	0.001
DE	CPA_A01	SK	C25	0.188
DE	CPA_A01	SK	C29	0.002
DE	CPA_A01	SK	C31_32	0.017
DE	CPA_A01	SK	D35	0.088
DE	CPA_A01	SK	E36	0.001
DE	CPA_A01	SK	E37-39	0.031
DE	CPA_A01	SK	F	0.088
DE	CPA_A01	SK	G46	1.012
DE	CPA_A01	SK	G47	0.581
DE	CPA_A01	SK	H49	0.024
DE	CPA_A01	SK	H52	0.092
DE	CPA_A01	SK	I	0.312
DE	CPA_A01	SK	J62_63	0.002
DE	CPA_A01	SK	L	0.019
DE	CPA_A01	SK	M69_70	0.007
DE	CPA_A01	SK	M72	0.005
DE	CPA_A01	SK	N77	0.001
DE	CPA_A01	SK	N80-82	0.689
DE	CPA_A01	SK	O84	0.035
DE	CPA_A01	SK	P3_S14	14.782
DE	CPA_A01	SK	P51G	6.245
DE	CPA_A01	SK	P5M	-0.539
DE	CPA_A01	SK	P85	0.016
DE	CPA_A01	SK	Q86	0.034
DE	CPA_A01	SK	Q87_88	0.029
DE	CPA_A01	SK	R90-92	0.004
DE	CPA_A01	SK	R93	0.001
DE	CPA_A01	SK	S94	0.015
DE	CPA_A01	SK	S96	0.047
DE	CPA_A02	DE	A01	67.583
DE	CPA_A02	DE	A02	807.817
DE	CPA_A02	DE	B	33.196
DE	CPA_A02	DE	C10-12	14.641
DE	CPA_A02	DE	C16	1847.715
DE	CPA_A02	DE	C17	62.335
DE	CPA_A02	DE	C20	10.617
DE	CPA_A02	DE	C31_32	36.692
DE	CPA_A02	DE	D35	1.153
DE	CPA_A02	DE	I	7.354
DE	CPA_A02	DE	M71	7.153
DE	CPA_A02	DE	N80-82	27.756
DE	CPA_A02	DE	O84	8.117
DE	CPA_A02	DE	P3_S14	1273.181
DE	CPA_A02	DE	P5M	840.413
DE	CPA_A02	DE	Q86	5.087
DE	CPA_A02	DE	Q87_88	4.596
DE	CPA_A02	DE	S94	6.369
DE	CPA_A02	DE	S96	8.758
DE	CPA_A02	FR	A02	1.829
DE	CPA_A02	FR	C10-12	0.007
DE	CPA_A02	FR	C16	3.477
DE	CPA_A02	FR	C17	0.158
DE	CPA_A02	FR	C18	0.042
DE	CPA_A02	FR	C20	0.024
DE	CPA_A02	FR	C28	0.002
DE	CPA_A02	FR	F	0.681
DE	CPA_A02	FR	G46	0.002
DE	CPA_A02	FR	I	0.007
DE	CPA_A02	FR	J59_60	0.014
DE	CPA_A02	FR	K64	0.002
DE	CPA_A02	FR	M72	0.004
DE	CPA_A02	FR	O84	0.32
DE	CPA_A02	FR	P3_S14	7.09
DE	CPA_A02	FR	P5M	6.237
DE	CPA_A02	FR	P85	0.021
DE	CPA_A02	FR	Q87_88	0.003
DE	CPA_A02	FR	R90-92	0.013
DE	CPA_A02	FR	R93	0.01
DE	CPA_A02	IT	A02	0.001
DE	CPA_A02	IT	C10-12	0.85
DE	CPA_A02	IT	C16	5.821
DE	CPA_A02	IT	C17	1.221
DE	CPA_A02	IT	C20	0.464
DE	CPA_A02	IT	C22	0.057
DE	CPA_A02	IT	C23	0.009
DE	CPA_A02	IT	C24	0.013
DE	CPA_A02	IT	C25	0.011
DE	CPA_A02	IT	C30	0.015
DE	CPA_A02	IT	C31_32	0.011
DE	CPA_A02	IT	D35	0.317
DE	CPA_A02	IT	G45	0.005
DE	CPA_A02	IT	G46	0.164
DE	CPA_A02	IT	G47	0.012
DE	CPA_A02	IT	I	0.006
DE	CPA_A02	IT	N80-82	0.077
DE	CPA_A02	IT	P3_S14	2.332
DE	CPA_A02	IT	R93	0.012
DE	CPA_A02	PL	A01	0.095
DE	CPA_A02	PL	A02	1.464
DE	CPA_A02	PL	B	0.037
DE	CPA_A02	PL	C10-12	0.024
DE	CPA_A02	PL	C13-15	0.016
DE	CPA_A02	PL	C16	1.696
DE	CPA_A02	PL	C17	0.665
DE	CPA_A02	PL	C18	0.004
DE	CPA_A02	PL	C19	0.002
DE	CPA_A02	PL	C20	0.053
DE	CPA_A02	PL	C22	0.062
DE	CPA_A02	PL	C23	0.005
DE	CPA_A02	PL	C24	0.001
DE	CPA_A02	PL	C25	0.004
DE	CPA_A02	PL	C27	0.003
DE	CPA_A02	PL	C28	0.001
DE	CPA_A02	PL	C29	0.004
DE	CPA_A02	PL	C30	0.002
DE	CPA_A02	PL	C31_32	1.089
DE	CPA_A02	PL	D35	0.427
DE	CPA_A02	PL	E36	0.001
DE	CPA_A02	PL	E37-39	0.021
DE	CPA_A02	PL	F	0.179
DE	CPA_A02	PL	G46	0.068
DE	CPA_A02	PL	G47	0.002
DE	CPA_A02	PL	H49	0.005
DE	CPA_A02	PL	H52	0.003
DE	CPA_A02	PL	I	0.004
DE	CPA_A02	PL	K66	0.001
DE	CPA_A02	PL	L	0.001
DE	CPA_A02	PL	M72	0.003
DE	CPA_A02	PL	N78	0.002
DE	CPA_A02	PL	N80-82	0.003
DE	CPA_A02	PL	O84	0.006
DE	CPA_A02	PL	P3_S14	2.351
DE	CPA_A02	PL	P51G	0.001
DE	CPA_A02	PL	P5M	0.273
DE	CPA_A02	PL	P85	0.006
DE	CPA_A02	PL	Q86	0.003
DE	CPA_A02	PL	S94	0.005
DE	CPA_A02	PL	S96	0.003
DE	CPA_A02	ROW	A01	5.547999999999999
DE	CPA_A02	ROW	A02	24.851999999999997
DE	CPA_A02	ROW	A03	0.14300000000000002
DE	CPA_A02	ROW	B	1.101
DE	CPA_A02	ROW	C10-12	2.8009999999999997
DE	CPA_A02	ROW	C13-15	0.29800000000000004
DE	CPA_A02	ROW	C16	161.138
DE	CPA_A02	ROW	C17	51.260000000000005
DE	CPA_A02	ROW	C18	0.193
DE	CPA_A02	ROW	C19	0.23
DE	CPA_A02	ROW	C20	3.9849999999999994
DE	CPA_A02	ROW	C21	0.8500000000000001
DE	CPA_A02	ROW	C22	9.147
DE	CPA_A02	ROW	C23	0.35100000000000003
DE	CPA_A02	ROW	C24	2.0439999999999996
DE	CPA_A02	ROW	C25	0.466
DE	CPA_A02	ROW	C26	0.051000000000000004
DE	CPA_A02	ROW	C27	0.069
DE	CPA_A02	ROW	C28	0.23100000000000004
DE	CPA_A02	ROW	C29	0.08700000000000001
DE	CPA_A02	ROW	C30	0.101
DE	CPA_A02	ROW	C31_32	6.709999999999999
DE	CPA_A02	ROW	C33	0.016
DE	CPA_A02	ROW	D35	2.8629999999999995
DE	CPA_A02	ROW	E36	0.018000000000000002
DE	CPA_A02	ROW	E37-39	0.086
DE	CPA_A02	ROW	F	6.779999999999999
DE	CPA_A02	ROW	G45	0.051000000000000004
DE	CPA_A02	ROW	G46	2.267999999999999
DE	CPA_A02	ROW	G47	0.53
DE	CPA_A02	ROW	H49	0.28700000000000003
DE	CPA_A02	ROW	H50	0.027999999999999997
DE	CPA_A02	ROW	H51	0.044
DE	CPA_A02	ROW	H52	0.07900000000000001
DE	CPA_A02	ROW	H53	0.01
DE	CPA_A02	ROW	I	0.42100000000000004
DE	CPA_A02	ROW	J58	0.026000000000000002
DE	CPA_A02	ROW	J59_60	0.011
DE	CPA_A02	ROW	J61	0.017
DE	CPA_A02	ROW	J62_63	0.04700000000000001
DE	CPA_A02	ROW	K64	0.009000000000000001
DE	CPA_A02	ROW	K65	0.031
DE	CPA_A02	ROW	K66	0.012
DE	CPA_A02	ROW	L	0.193
DE	CPA_A02	ROW	M69_70	0.08900000000000001
DE	CPA_A02	ROW	M71	0.043000000000000003
DE	CPA_A02	ROW	M72	0.163
DE	CPA_A02	ROW	M73	0.022000000000000006
DE	CPA_A02	ROW	M74_75	0.028
DE	CPA_A02	ROW	N77	0.026000000000000002
DE	CPA_A02	ROW	N78	0.009000000000000001
DE	CPA_A02	ROW	N79	0.003
DE	CPA_A02	ROW	N80-82	0.624
DE	CPA_A02	ROW	O84	1.8270000000000004
DE	CPA_A02	ROW	P3_S13	3.089
DE	CPA_A02	ROW	P3_S14	33.44800000000001
DE	CPA_A02	ROW	P3_S15	0.097
DE	CPA_A02	ROW	P51G	0.502
DE	CPA_A02	ROW	P5M	-2.940000000000001
DE	CPA_A02	ROW	P85	0.435
DE	CPA_A02	ROW	Q86	0.15400000000000003
DE	CPA_A02	ROW	Q87_88	0.07600000000000001
DE	CPA_A02	ROW	R90-92	0.927
DE	CPA_A02	ROW	R93	0.037
DE	CPA_A02	ROW	S94	0.23
DE	CPA_A02	ROW	S95	0.023
DE	CPA_A02	ROW	S96	0.054000000000000006
DE	CPA_A02	SK	A01	0.004
DE	CPA_A02	SK	A02	0.12
DE	CPA_A02	SK	B	0.001
DE	CPA_A02	SK	C10-12	0.004
DE	CPA_A02	SK	C16	0.173
DE	CPA_A02	SK	C17	0.11
DE	CPA_A02	SK	C31_32	0.001
DE	CPA_A02	SK	D35	0.021
DE	CPA_A02	SK	F	0.007
DE	CPA_A02	SK	G46	0.027
