cpa2_1	CPA_A012611	Table olives
cpa2_1	CPA_A012612	Olives for production of olive oil
cpa2_1	CPA_A01262	Coconuts
cpa2_1	CPA_A012620	Coconuts
cpa2_1	CPA_A01269	Other oleaginous fruits
cpa2_1	CPA_A012690	Other oleaginous fruits
cpa2_1	CPA_A0127	Beverage crops
cpa2_1	CPA_A01271	Beverage crops
cpa2_1	CPA_A012711	Coffee beans, not roasted
cpa2_1	CPA_A012712	Tea leaves
cpa2_1	CPA_A012713	Maté leaves
cpa2_1	CPA_A012714	Cocoa beans
cpa2_1	CPA_A0128	Spices, aromatic, drug and pharmaceutical crops
cpa2_1	CPA_A01281	Spices, not processed
cpa2_1	CPA_A012811	Pepper (piper spp.), raw
cpa2_1	CPA_A012812	Chillies and peppers, dry (capsicum spp.), raw
cpa2_1	CPA_A012813	Nutmeg, mace and cardamoms, raw
cpa2_1	CPA_A012814	Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw
cpa2_1	CPA_A012815	Cinnamon (canella), raw
cpa2_1	CPA_A012816	Cloves (whole stems), raw
cpa2_1	CPA_A012817	Ginger, dry, raw
cpa2_1	CPA_A012818	Vanilla, raw
cpa2_1	CPA_A012819	Other spices, not processed
cpa2_1	CPA_A01282	Hop cones
cpa2_1	CPA_A012820	Hop cones
cpa2_1	CPA_A01283	Plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes
cpa2_1	CPA_A012830	Plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes
cpa2_1	CPA_A0129	Other perennial crops
cpa2_1	CPA_A01291	Natural rubber
cpa2_1	CPA_A012910	Natural rubber
cpa2_1	CPA_A01292	Christmas trees, cut
cpa2_1	CPA_A012920	Christmas trees, cut
cpa2_1	CPA_A01293	Vegetable materials of a kind used primarily for plaiting or as stuffing or padding, or in dyeing or tanning
cpa2_1	CPA_A012930	Vegetable materials of a kind used primarily for plaiting or as stuffing or padding, or in dyeing or tanning
cpa2_1	CPA_A013	Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn
cpa2_1	CPA_A0130	Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn
cpa2_1	CPA_A01301	Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn
cpa2_1	CPA_A013010	Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn
cpa2_1	CPA_A014	Live animals and animal products
cpa2_1	CPA_A0141	Dairy cattle, live and raw milk from dairy cattle
cpa2_1	CPA_A01411	Dairy cattle, live
cpa2_1	CPA_A014110	Dairy cattle, live
cpa2_1	CPA_A01412	Raw milk from dairy cattle
cpa2_1	CPA_A014120	Raw milk from dairy cattle
cpa2_1	CPA_A0142	Other cattle and buffaloes, live and their semen
cpa2_1	CPA_A01421	Other cattle and buffaloes, live
cpa2_1	CPA_A014211	Other cattle and buffaloes, except calves, live
cpa2_1	CPA_A014212	Calves of cattle and buffalo, live
cpa2_1	CPA_A01422	Cattle and buffalo semen
cpa2_1	CPA_A014220	Cattle and buffalo semen
cpa2_1	CPA_A0143	Horses and other equines, live
cpa2_1	CPA_A01431	Horses and other equines, live
cpa2_1	CPA_A014311	Horses, live
cpa2_1	CPA_A014312	Asses, mules and hinnies, live
cpa2_1	CPA_A0144	Camels and camelids, live
cpa2_1	CPA_A01441	Camels and camelids, live
cpa2_1	CPA_A014410	Camels and camelids, live
cpa2_1	CPA_A0145	Sheep and goats, live; raw milk and shorn wool from sheep and goats
cpa2_1	CPA_A01451	Sheep and goats, live
cpa2_1	CPA_A014511	Sheep, live
cpa2_1	CPA_A014512	Goats, live
cpa2_1	CPA_A01452	Raw milk from sheep and goats
cpa2_1	CPA_A014521	Raw milk from sheep
cpa2_1	CPA_A014522	Raw milk from goats
cpa2_1	CPA_A01453	Shorn wool from sheep and goats, greasy, including fleece-washed shorn wool
cpa2_1	CPA_A014530	Shorn wool from sheep and goats, greasy, including fleece-washed shorn wool
cpa2_1	CPA_A0146	Swine, live
cpa2_1	CPA_A01461	Swine, live
cpa2_1	CPA_A014610	Swine, live
cpa2_1	CPA_A0147	Poultry, live and eggs
cpa2_1	CPA_A01471	Poultry, live
cpa2_1	CPA_A014711	Chickens, live
cpa2_1	CPA_A014712	Turkeys, live
cpa2_1	CPA_A014713	Geese, live
cpa2_1	CPA_A014714	Ducks and guinea fowls, live
cpa2_1	CPA_A01472	Eggs in shell, fresh
cpa2_1	CPA_A014721	Hen eggs in shell, fresh
cpa2_1	CPA_A014722	Eggs from other poultry, in shell, fresh
cpa2_1	CPA_A014723	Hen eggs for hatching
cpa2_1	CPA_A014724	Eggs from other poultry, for hatching
cpa2_1	CPA_A0149	Other farmed animals and animal products
cpa2_1	CPA_A01491	Other farmed animals, live
cpa2_1	CPA_A014911	Domestic rabbits, live
cpa2_1	CPA_A014912	Farmed birds n.e.c., live
cpa2_1	CPA_A014913	Farmed reptiles (including snakes and turtles), live
cpa2_1	CPA_A014919	Other farmed animals n.e.c., live
cpa2_1	CPA_A01492	Other farm animal products
cpa2_1	CPA_A014921	Natural honey
cpa2_1	CPA_A014922	Raw milk n.e.c.
cpa2_1	CPA_A014923	Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails
cpa2_1	CPA_A014924	Edible products of farm animal origin n.e.c.
cpa2_1	CPA_A014925	Silk-worm cocoons suitable for reeling
cpa2_1	CPA_A014926	Insect waxes and spermaceti, whether or not refined or coloured
cpa2_1	CPA_A014927	Animal embryos for reproduction
cpa2_1	CPA_A014928	Non-edible products of farm animal origin n.e.c.
cpa2_1	CPA_A01493	Raw fur skins and miscellaneous raw hides and skins
cpa2_1	CPA_A014931	Raw fur skins, except of fur-bearing lambs
cpa2_1	CPA_A014932	Raw fur skins of fur-bearing lambs
