region	family	route	flow_kind	physical_unit	value_tonnes	source_flow_count	status	source	source_rule
SK	ELMA	NEW	new_product_output	tonnes	111281.59243290928	1	observed	BONSAI-derived CE-RISE disaggregation	family parent activity to matching family parent product
SK	ELMA	REC	route_input_mass	tonnes	42.96098184775198	45	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
SK	ELMA	REP	route_input_mass	tonnes	5273.826215941875	10	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
SK	ELMA	REU	route_input_mass	tonnes	3.846949003144826	5	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
SK	OFMA	INC	route_input_mass	tonnes	0.18033814518381905	25	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
SK	OFMA	NEW	new_product_output	tonnes	105.80070434890077	1	observed	BONSAI-derived CE-RISE disaggregation	family parent activity to matching family parent product
SK	OFMA	REC	route_input_mass	tonnes	0.08330199928755128	20	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
SK	OFMA	REP	route_input_mass	tonnes	3.382652784369149	10	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
SK	RATV	INC	route_input_mass	tonnes	251.79430172479235	96	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
SK	RATV	NEW	new_product_output	tonnes	8.69336016489549e6	1	observed	BONSAI-derived CE-RISE disaggregation	family parent activity to matching family parent product
SK	RATV	REC	route_input_mass	tonnes	70.62035046274096	36	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
SK	RATV	REP	route_input_mass	tonnes	215631.008054486	8	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
SK	RATV	REU	route_input_mass	tonnes	6.003737014326223	4	observed	BONSAI-derived CE-RISE disaggregation	selected family market to identified circular-route activity
