subset,parent_set,item
pl_factors,factors,FAC_PL_LAB
pl_factors,factors,FAC_PL_CAP
pl_institutions,institutions,INS_PL_HH
pl_institutions,institutions,INS_PL_GOV
pl_institutions,institutions,INS_PL_INV
pl_externals,externals,EXT_PL_EXT
sk_industries,industries,IND_SK_AGRI_FOOD
sk_industries,industries,IND_SK_EXTRACTIVE
sk_industries,industries,IND_SK_BASIC_METALS
upstream_material_industries,industries,IND_SK_BASIC_METALS
sk_industries,industries,IND_SK_METAL_COMPONENTS
upstream_material_industries,industries,IND_SK_METAL_COMPONENTS
sk_industries,industries,IND_SK_NEW_ELMA
service_route_industries,industries,IND_SK_NEW_ELMA
new_route_industries,industries,IND_SK_NEW_ELMA
sk_industries,industries,IND_SK_NEW_OFMA
service_route_industries,industries,IND_SK_NEW_OFMA
new_route_industries,industries,IND_SK_NEW_OFMA
sk_industries,industries,IND_SK_NEW_RATV
service_route_industries,industries,IND_SK_NEW_RATV
new_route_industries,industries,IND_SK_NEW_RATV
sk_industries,industries,IND_SK_REP_ELMA
service_route_industries,industries,IND_SK_REP_ELMA
repair_route_industries,industries,IND_SK_REP_ELMA
sk_industries,industries,IND_SK_REP_OFMA
service_route_industries,industries,IND_SK_REP_OFMA
repair_route_industries,industries,IND_SK_REP_OFMA
sk_industries,industries,IND_SK_REP_RATV
service_route_industries,industries,IND_SK_REP_RATV
repair_route_industries,industries,IND_SK_REP_RATV
sk_industries,industries,IND_SK_REF_ELMA
service_route_industries,industries,IND_SK_REF_ELMA
refurbishment_route_industries,industries,IND_SK_REF_ELMA
sk_industries,industries,IND_SK_REF_OFMA
service_route_industries,industries,IND_SK_REF_OFMA
refurbishment_route_industries,industries,IND_SK_REF_OFMA
sk_industries,industries,IND_SK_REF_RATV
service_route_industries,industries,IND_SK_REF_RATV
refurbishment_route_industries,industries,IND_SK_REF_RATV
sk_industries,industries,IND_SK_REU_ELMA
service_route_industries,industries,IND_SK_REU_ELMA
reuse_route_industries,industries,IND_SK_REU_ELMA
sk_industries,industries,IND_SK_REU_OFMA
service_route_industries,industries,IND_SK_REU_OFMA
reuse_route_industries,industries,IND_SK_REU_OFMA
sk_industries,industries,IND_SK_REU_RATV
service_route_industries,industries,IND_SK_REU_RATV
reuse_route_industries,industries,IND_SK_REU_RATV
sk_industries,industries,IND_SK_REC_EE
eol_processing_industries,industries,IND_SK_REC_EE
sk_industries,industries,IND_SK_INC_EE
eol_processing_industries,industries,IND_SK_INC_EE
sk_industries,industries,IND_SK_CONSTRUCTION
sk_industries,industries,IND_SK_UTIL_WASTE
sk_industries,industries,IND_SK_TRADE
sk_industries,industries,IND_SK_TRANSPORT
sk_industries,industries,IND_SK_OTHER_MANUFACTURING
sk_industries,industries,IND_SK_OTHER_SERVICES
sk_industries,industries,IND_SK_PUBLIC_SOCIAL
sk_factors,factors,FAC_SK_LAB
sk_factors,factors,FAC_SK_CAP
sk_institutions,institutions,INS_SK_HH
sk_institutions,institutions,INS_SK_GOV
sk_institutions,institutions,INS_SK_INV
sk_externals,externals,EXT_SK_EXT
reu_industries,industries,IND_REU_AGRI_FOOD
reu_industries,industries,IND_REU_EXTRACTIVE
reu_industries,industries,IND_REU_BASIC_METALS
upstream_material_industries,industries,IND_REU_BASIC_METALS
reu_industries,industries,IND_REU_METAL_COMPONENTS
upstream_material_industries,industries,IND_REU_METAL_COMPONENTS
reu_industries,industries,IND_REU_NEW_ELMA
service_route_industries,industries,IND_REU_NEW_ELMA
new_route_industries,industries,IND_REU_NEW_ELMA
reu_industries,industries,IND_REU_NEW_OFMA
service_route_industries,industries,IND_REU_NEW_OFMA
new_route_industries,industries,IND_REU_NEW_OFMA
reu_industries,industries,IND_REU_NEW_RATV
service_route_industries,industries,IND_REU_NEW_RATV
new_route_industries,industries,IND_REU_NEW_RATV
reu_industries,industries,IND_REU_REP_ELMA
service_route_industries,industries,IND_REU_REP_ELMA
repair_route_industries,industries,IND_REU_REP_ELMA
reu_industries,industries,IND_REU_REP_OFMA
service_route_industries,industries,IND_REU_REP_OFMA
repair_route_industries,industries,IND_REU_REP_OFMA
reu_industries,industries,IND_REU_REP_RATV
service_route_industries,industries,IND_REU_REP_RATV
repair_route_industries,industries,IND_REU_REP_RATV
reu_industries,industries,IND_REU_REF_ELMA
service_route_industries,industries,IND_REU_REF_ELMA
