map,from_item,to_item
industry_to_route,IND_SK_INC_EE,INC
industry_to_family,IND_SK_INC_EE,ELMA
industry_to_regional_family,IND_SK_INC_EE,SK__ELMA
industry_to_eol_target,IND_SK_INC_EE,EOL_SK_ELMA
industry_to_route,IND_SK_NEW_OFMA,NEW
industry_to_family,IND_SK_NEW_OFMA,OFMA
industry_to_regional_family,IND_SK_NEW_OFMA,SK__OFMA
industry_to_service_target,IND_SK_NEW_OFMA,TST_SK_OFMA
industry_to_eol_target,IND_SK_NEW_OFMA,EOL_SK_OFMA
industry_to_route,IND_SK_REF_OFMA,REF
industry_to_family,IND_SK_REF_OFMA,OFMA
industry_to_regional_family,IND_SK_REF_OFMA,SK__OFMA
industry_to_service_target,IND_SK_REF_OFMA,TST_SK_OFMA
industry_to_eol_target,IND_SK_REF_OFMA,EOL_SK_OFMA
industry_to_route,IND_SK_REP_OFMA,REP
industry_to_family,IND_SK_REP_OFMA,OFMA
industry_to_regional_family,IND_SK_REP_OFMA,SK__OFMA
industry_to_service_target,IND_SK_REP_OFMA,TST_SK_OFMA
industry_to_eol_target,IND_SK_REP_OFMA,EOL_SK_OFMA
industry_to_route,IND_SK_REU_OFMA,REU
industry_to_family,IND_SK_REU_OFMA,OFMA
industry_to_regional_family,IND_SK_REU_OFMA,SK__OFMA
industry_to_service_target,IND_SK_REU_OFMA,TST_SK_OFMA
industry_to_eol_target,IND_SK_REU_OFMA,EOL_SK_OFMA
industry_to_family,IND_SK_REC_EE,OFMA
industry_to_regional_family,IND_SK_REC_EE,SK__OFMA
industry_to_eol_target,IND_SK_REC_EE,EOL_SK_OFMA
industry_to_family,IND_SK_INC_EE,OFMA
industry_to_regional_family,IND_SK_INC_EE,SK__OFMA
industry_to_eol_target,IND_SK_INC_EE,EOL_SK_OFMA
industry_to_route,IND_SK_NEW_RATV,NEW
industry_to_family,IND_SK_NEW_RATV,RATV
industry_to_regional_family,IND_SK_NEW_RATV,SK__RATV
industry_to_service_target,IND_SK_NEW_RATV,TST_SK_RATV
industry_to_eol_target,IND_SK_NEW_RATV,EOL_SK_RATV
industry_to_route,IND_SK_REF_RATV,REF
industry_to_family,IND_SK_REF_RATV,RATV
industry_to_regional_family,IND_SK_REF_RATV,SK__RATV
industry_to_service_target,IND_SK_REF_RATV,TST_SK_RATV
industry_to_eol_target,IND_SK_REF_RATV,EOL_SK_RATV
industry_to_route,IND_SK_REP_RATV,REP
industry_to_family,IND_SK_REP_RATV,RATV
industry_to_regional_family,IND_SK_REP_RATV,SK__RATV
industry_to_service_target,IND_SK_REP_RATV,TST_SK_RATV
industry_to_eol_target,IND_SK_REP_RATV,EOL_SK_RATV
industry_to_route,IND_SK_REU_RATV,REU
industry_to_family,IND_SK_REU_RATV,RATV
industry_to_regional_family,IND_SK_REU_RATV,SK__RATV
industry_to_service_target,IND_SK_REU_RATV,TST_SK_RATV
industry_to_eol_target,IND_SK_REU_RATV,EOL_SK_RATV
industry_to_family,IND_SK_REC_EE,RATV
industry_to_regional_family,IND_SK_REC_EE,SK__RATV
industry_to_eol_target,IND_SK_REC_EE,EOL_SK_RATV
industry_to_family,IND_SK_INC_EE,RATV
industry_to_regional_family,IND_SK_INC_EE,SK__RATV
industry_to_eol_target,IND_SK_INC_EE,EOL_SK_RATV
industry_to_route,IND_REU_NEW_ELMA,NEW
industry_to_family,IND_REU_NEW_ELMA,ELMA
industry_to_regional_family,IND_REU_NEW_ELMA,REU__ELMA
industry_to_service_target,IND_REU_NEW_ELMA,TST_REU_ELMA
industry_to_eol_target,IND_REU_NEW_ELMA,EOL_REU_ELMA
industry_to_route,IND_REU_REF_ELMA,REF
industry_to_family,IND_REU_REF_ELMA,ELMA
industry_to_regional_family,IND_REU_REF_ELMA,REU__ELMA
industry_to_service_target,IND_REU_REF_ELMA,TST_REU_ELMA
industry_to_eol_target,IND_REU_REF_ELMA,EOL_REU_ELMA
industry_to_route,IND_REU_REP_ELMA,REP
industry_to_family,IND_REU_REP_ELMA,ELMA
industry_to_regional_family,IND_REU_REP_ELMA,REU__ELMA
industry_to_service_target,IND_REU_REP_ELMA,TST_REU_ELMA
