account_id	account_type	region	source_code	account_label
ACT:ROW:REF_RATV	activity	ROW	REF_RATV	ROW activity: Refurbishment route for RATV
ACT:ROW:REP_ELMA	activity	ROW	REP_ELMA	ROW activity: Repair activities linked to ELMA
ACT:ROW:REP_OFMA	activity	ROW	REP_OFMA	ROW activity: Repair activities linked to OFMA
ACT:ROW:REP_RATV	activity	ROW	REP_RATV	ROW activity: Repair activities linked to RATV
ACT:ROW:REU_ELMA	activity	ROW	REU_ELMA	ROW activity: Reuse route for ELMA
ACT:ROW:REU_OFMA	activity	ROW	REU_OFMA	ROW activity: Reuse route for OFMA
ACT:ROW:REU_RATV	activity	ROW	REU_RATV	ROW activity: Reuse route for RATV
ACT:ROW:TRADE	activity	ROW	TRADE	ROW activity: Trade services
ACT:ROW:TRANSPORT	activity	ROW	TRANSPORT	ROW activity: Transport and storage
ACT:ROW:UTIL_WASTE	activity	ROW	UTIL_WASTE	ROW activity: Utilities, water, and residual waste services
ACT:SK:AGRI_FOOD	activity	SK	AGRI_FOOD	SK activity: Agriculture and food
ACT:SK:BASIC_METALS	activity	SK	BASIC_METALS	SK activity: Basic metals
ACT:SK:CONSTRUCTION	activity	SK	CONSTRUCTION	SK activity: Construction
ACT:SK:EXTRACTIVE	activity	SK	EXTRACTIVE	SK activity: Extractive industries
ACT:SK:INC_EE	activity	SK	INC_EE	SK activity: Incineration and disposal activities for CE-RISE chains
ACT:SK:METAL_COMPONENTS	activity	SK	METAL_COMPONENTS	SK activity: Metal components and fabricated metals
ACT:SK:NEW_ELMA	activity	SK	NEW_ELMA	SK activity: New CE-RISE electrical equipment
ACT:SK:NEW_OFMA	activity	SK	NEW_OFMA	SK activity: New CE-RISE office machinery and computers
ACT:SK:NEW_RATV	activity	SK	NEW_RATV	SK activity: New CE-RISE communication and consumer electronics
ACT:SK:OTHER_MANUFACTURING	activity	SK	OTHER_MANUFACTURING	SK activity: Other manufacturing
ACT:SK:OTHER_SERVICES	activity	SK	OTHER_SERVICES	SK activity: Other market services
ACT:SK:PUBLIC_SOCIAL	activity	SK	PUBLIC_SOCIAL	SK activity: Public and social services
ACT:SK:REC_EE	activity	SK	REC_EE	SK activity: Recycling and recovery activities for CE-RISE chains
ACT:SK:REF_ELMA	activity	SK	REF_ELMA	SK activity: Refurbishment route for ELMA
ACT:SK:REF_OFMA	activity	SK	REF_OFMA	SK activity: Refurbishment route for OFMA
ACT:SK:REF_RATV	activity	SK	REF_RATV	SK activity: Refurbishment route for RATV
ACT:SK:REP_ELMA	activity	SK	REP_ELMA	SK activity: Repair activities linked to ELMA
ACT:SK:REP_OFMA	activity	SK	REP_OFMA	SK activity: Repair activities linked to OFMA
ACT:SK:REP_RATV	activity	SK	REP_RATV	SK activity: Repair activities linked to RATV
ACT:SK:REU_ELMA	activity	SK	REU_ELMA	SK activity: Reuse route for ELMA
ACT:SK:REU_OFMA	activity	SK	REU_OFMA	SK activity: Reuse route for OFMA
ACT:SK:REU_RATV	activity	SK	REU_RATV	SK activity: Reuse route for RATV
ACT:SK:TRADE	activity	SK	TRADE	SK activity: Trade services
ACT:SK:TRANSPORT	activity	SK	TRANSPORT	SK activity: Transport and storage
ACT:SK:UTIL_WASTE	activity	SK	UTIL_WASTE	SK activity: Utilities, water, and residual waste services
COM:DE:AGRI_FOOD	commodity	DE	AGRI_FOOD	DE commodity: Agriculture and food
COM:DE:BASIC_METALS	commodity	DE	BASIC_METALS	DE commodity: Basic metals
COM:DE:CONSTRUCTION	commodity	DE	CONSTRUCTION	DE commodity: Construction
COM:DE:EXTRACTIVE	commodity	DE	EXTRACTIVE	DE commodity: Extractive industries
COM:DE:INC_EE	commodity	DE	INC_EE	DE commodity: Incineration and disposal activities for CE-RISE chains
COM:DE:METAL_COMPONENTS	commodity	DE	METAL_COMPONENTS	DE commodity: Metal components and fabricated metals
COM:DE:NEW_ELMA	commodity	DE	NEW_ELMA	DE commodity: New CE-RISE electrical equipment
COM:DE:NEW_OFMA	commodity	DE	NEW_OFMA	DE commodity: New CE-RISE office machinery and computers
COM:DE:NEW_RATV	commodity	DE	NEW_RATV	DE commodity: New CE-RISE communication and consumer electronics
COM:DE:OTHER_MANUFACTURING	commodity	DE	OTHER_MANUFACTURING	DE commodity: Other manufacturing
COM:DE:OTHER_SERVICES	commodity	DE	OTHER_SERVICES	DE commodity: Other market services
COM:DE:PUBLIC_SOCIAL	commodity	DE	PUBLIC_SOCIAL	DE commodity: Public and social services
COM:DE:REC_EE	commodity	DE	REC_EE	DE commodity: Recycling and recovery activities for CE-RISE chains
COM:DE:REF_ELMA	commodity	DE	REF_ELMA	DE commodity: Refurbishment route for ELMA
COM:DE:REF_OFMA	commodity	DE	REF_OFMA	DE commodity: Refurbishment route for OFMA
COM:DE:REF_RATV	commodity	DE	REF_RATV	DE commodity: Refurbishment route for RATV
COM:DE:REP_ELMA	commodity	DE	REP_ELMA	DE commodity: Repair activities linked to ELMA
COM:DE:REP_OFMA	commodity	DE	REP_OFMA	DE commodity: Repair activities linked to OFMA
COM:DE:REP_RATV	commodity	DE	REP_RATV	DE commodity: Repair activities linked to RATV
COM:DE:REU_ELMA	commodity	DE	REU_ELMA	DE commodity: Reuse route for ELMA
COM:DE:REU_OFMA	commodity	DE	REU_OFMA	DE commodity: Reuse route for OFMA
COM:DE:REU_RATV	commodity	DE	REU_RATV	DE commodity: Reuse route for RATV
COM:DE:TRADE	commodity	DE	TRADE	DE commodity: Trade services
COM:DE:TRANSPORT	commodity	DE	TRANSPORT	DE commodity: Transport and storage
COM:DE:UTIL_WASTE	commodity	DE	UTIL_WASTE	DE commodity: Utilities, water, and residual waste services
COM:FR:AGRI_FOOD	commodity	FR	AGRI_FOOD	FR commodity: Agriculture and food
COM:FR:BASIC_METALS	commodity	FR	BASIC_METALS	FR commodity: Basic metals
COM:FR:CONSTRUCTION	commodity	FR	CONSTRUCTION	FR commodity: Construction
COM:FR:EXTRACTIVE	commodity	FR	EXTRACTIVE	FR commodity: Extractive industries
COM:FR:INC_EE	commodity	FR	INC_EE	FR commodity: Incineration and disposal activities for CE-RISE chains
COM:FR:METAL_COMPONENTS	commodity	FR	METAL_COMPONENTS	FR commodity: Metal components and fabricated metals
COM:FR:NEW_ELMA	commodity	FR	NEW_ELMA	FR commodity: New CE-RISE electrical equipment
COM:FR:NEW_OFMA	commodity	FR	NEW_OFMA	FR commodity: New CE-RISE office machinery and computers
COM:FR:NEW_RATV	commodity	FR	NEW_RATV	FR commodity: New CE-RISE communication and consumer electronics
COM:FR:OTHER_MANUFACTURING	commodity	FR	OTHER_MANUFACTURING	FR commodity: Other manufacturing
COM:FR:OTHER_SERVICES	commodity	FR	OTHER_SERVICES	FR commodity: Other market services
COM:FR:PUBLIC_SOCIAL	commodity	FR	PUBLIC_SOCIAL	FR commodity: Public and social services
