recycled_origin	destination_region	destination_activity	source_use_kind	source_use_target	allocated_value_meur	primary_metal_reduction_meur	allocation_weight
DE	DE	OTHER_SERVICES	final	P3_S13	0.003135221308633093	0.003135221308633093	0.0006613856057123747
DE	DE	PUBLIC_SOCIAL	final	P3_S13	0.00019289709173570232	0.00019289709173570232	4.069229802262207e-5
DE	DE	REC_EE	final	P3_S13	2.393945815182417e-7	2.393945815182417e-7	5.0501101745424495e-8
DE	DE	REF_ELMA	final	P3_S13	9.793457001981034e-5	9.793457001981034e-5	2.0659630863817085e-5
DE	DE	REF_RATV	final	P3_S13	6.880807936562797e-5	6.880807936562797e-5	1.4515298528952036e-5
DE	DE	REP_RATV	final	P3_S13	2.059829719923263e-8	2.059829719923263e-8	4.345280900026027e-9
DE	DE	REU_ELMA	final	P3_S13	1.4151508291507882e-6	1.4151508291507882e-6	2.985308838438354e-7
DE	DE	REU_RATV	final	P3_S13	2.4505333721948875e-6	2.4505333721948875e-6	5.169483552005214e-7
DE	DE	TRADE	final	P3_S13	0.00044868628090292067	0.00044868628090292067	9.46518980502819e-5
DE	DE	TRANSPORT	final	P3_S13	0.000578200350996369	0.000578200350996369	0.00012197333193476137
DE	DE	UTIL_WASTE	final	P3_S13	0.0013648121518172087	0.0013648121518172087	0.00028791176853374436
DE	DE	AGRI_FOOD	final	P3_S13	0.00040860398210903175	0.00040860398210903175	8.619640070049561e-5
DE	DE	BASIC_METALS	final	P3_S13	0.03197089735650024	0.03197089735650024	0.006744369609594162
DE	DE	CONSTRUCTION	final	P3_S13	0.002707814874271537	0.002707814874271537	0.0005712227637154797
DE	DE	EXTRACTIVE	final	P3_S13	8.007112720732856e-5	8.007112720732856e-5	1.689127680469243e-5
DE	DE	INC_EE	final	P3_S13	4.624863628388081e-8	4.624863628388081e-8	9.75630723029303e-9
DE	DE	METAL_COMPONENTS	final	P3_S13	0.010736236567591428	0.010736236567591428	0.0022648456444765734
DE	DE	NEW_ELMA	final	P3_S13	0.0020628971543910756	0.0020628971543910756	0.00043517517574353306
DE	DE	NEW_RATV	final	P3_S13	0.0004530433092212472	0.0004530433092212472	9.557102800308218e-5
DE	DE	OTHER_MANUFACTURING	final	P3_S13	0.019440062410863372	0.019440062410863372	0.004100947329393105
DE	DE	OTHER_SERVICES	final	P3_S13	0.001307372962003868	0.001307372962003868	0.0002757947759496109
DE	DE	PUBLIC_SOCIAL	final	P3_S13	0.00019785233022723598	0.00019785233022723598	4.173762244745546e-5
DE	DE	REC_EE	final	P3_S13	1.7823190325593765e-7	1.7823190325593765e-7	3.759862660017182e-8
DE	DE	REF_ELMA	final	P3_S13	3.752327309623911e-5	3.752327309623911e-5	7.915662169279825e-6
DE	DE	REF_RATV	final	P3_S13	2.6415340229511164e-5	2.6415340229511164e-5	5.572405925440288e-6
DE	DE	REP_RATV	final	P3_S13	2.179239610360225e-8	2.179239610360225e-8	4.597180127991948e-9
DE	DE	REU_ELMA	final	P3_S13	5.762676724376731e-7	5.762676724376731e-7	1.2156562681497583e-7
DE	DE	REU_RATV	final	P3_S13	1.0823873336892848e-6	1.0823873336892848e-6	2.2833329192305096e-7
DE	DE	TRADE	final	P3_S13	0.000248211833337548	0.000248211833337548	5.2361131026028266e-5
DE	DE	TRANSPORT	final	P3_S13	0.0003309810975106397	0.0003309810975106397	6.982158900669778e-5
DE	DE	UTIL_WASTE	final	P3_S13	0.0005747683198626697	0.0005747683198626697	0.00012124933328626561
DE	DE	AGRI_FOOD	final	P3_S13	0.004033381403977322	0.004033381403977322	0.0008508555346932144
DE	DE	BASIC_METALS	final	P3_S13	0.4616674899571778	0.4616674899571778	0.0973903282815347
DE	DE	CONSTRUCTION	final	P3_S13	0.02999555023711883	0.02999555023711883	0.006327663411710522
DE	DE	EXTRACTIVE	final	P3_S13	0.0010753024459942335	0.0010753024459942335	0.0002268387107505217
DE	DE	INC_EE	final	P3_S13	5.357516533247587e-7	5.357516533247587e-7	1.1301863468773362e-7
DE	DE	METAL_COMPONENTS	final	P3_S13	0.14775280235641203	0.14775280235641203	0.03116895653047262
DE	DE	NEW_ELMA	final	P3_S13	0.028520589285145188	0.028520589285145188	0.0060165153788947785
DE	DE	NEW_OFMA	final	P3_S13	3.399050889011852e-8	3.399050889011852e-8	7.170413536314024e-9
DE	DE	NEW_RATV	final	P3_S13	0.005949377962281591	0.005949377962281591	0.0012550415297193133
DE	DE	OTHER_MANUFACTURING	final	P3_S13	0.25376487880154985	0.25376487880154985	0.053532564866326605
DE	DE	OTHER_SERVICES	final	P3_S13	0.017585920880872276	0.017585920880872276	0.003709809863111888
DE	DE	PUBLIC_SOCIAL	final	P3_S13	0.0014167977352681595	0.0014167977352681595	0.0002988783042945033
DE	DE	REC_EE	final	P3_S13	1.4590963541202563e-6	1.4590963541202563e-6	3.0780134190376476e-7
DE	DE	REF_ELMA	final	P3_S13	0.0005163820756295895	0.0005163820756295895	0.00010893255634900939
DE	DE	REF_OFMA	final	P3_S13	1.3338474005272772e-8	1.3338474005272772e-8	2.8137964886128874e-9
