table	row_region	row_sector	column_region	column_code	original_value_meur	constructed_value_meur	balanced_value_meur	change_from_original_meur	balancing_adjustment_meur
intermediate	DE	AGRI_FOOD	FR	TRANSPORT	14.30071909242237	14.30071909242237	14.300719151048728	5.862635887865508e-8	5.862635887865508e-8
intermediate	DE	AGRI_FOOD	FR	UTIL_WASTE	7.748299881404774	7.748299881404774	7.748300918075135	1.0366703611097705e-6	1.0366703611097705e-6
intermediate	DE	AGRI_FOOD	IT	AGRI_FOOD	2117.801472051004	2117.801472051004	2117.8204668298968	0.018994778892647446	0.018994778892647446
intermediate	DE	AGRI_FOOD	IT	BASIC_METALS	2.3710333696586106	2.3710333696586106	2.3710347727695207	1.4031109101253492e-6	1.4031109101253492e-6
intermediate	DE	AGRI_FOOD	IT	CONSTRUCTION	2.2720122539403222	2.2720122539403222	2.2720122734631243	1.9522802041649356e-8	1.9522802041649356e-8
intermediate	DE	AGRI_FOOD	IT	EXTRACTIVE	0.7264331743486148	0.7264331743486148	0.726433366784462	1.9243584725714413e-7	1.9243584725714413e-7
intermediate	DE	AGRI_FOOD	IT	METAL_COMPONENTS	1.7018204300195108	1.7018204300195108	1.7018205099186399	7.989912909067698e-8	7.989912909067698e-8
intermediate	DE	AGRI_FOOD	IT	NEW_ELMA	1.3475329247582026	1.3475329247582026	1.3475329967912537	7.203305107950086e-8	7.203305107950086e-8
intermediate	DE	AGRI_FOOD	IT	NEW_OFMA	0.3886798109484441	0.3886798109484441	0.388679857286898	4.6338453907335264e-8	4.6338453907335264e-8
intermediate	DE	AGRI_FOOD	IT	NEW_RATV	1.368383925910053	1.368383925910053	1.3683840990251042	1.7311505118300374e-7	1.7311505118300374e-7
intermediate	DE	AGRI_FOOD	IT	OTHER_MANUFACTURING	343.28057578419185	343.28057578419185	343.2809076192274	0.0003318350355243638	0.0003318350355243638
intermediate	DE	AGRI_FOOD	IT	OTHER_SERVICES	38.755864298053716	38.755864298053716	38.75586522570726	9.276535450908341e-7	9.276535450908341e-7
intermediate	DE	AGRI_FOOD	IT	PUBLIC_SOCIAL	2.662870442224425	2.662870442224425	2.662870600865648	1.586412232690293e-7	1.586412232690293e-7
intermediate	DE	AGRI_FOOD	IT	REF_ELMA	0.5651962706235938	0.5651962706235938	0.5651963263017273	5.5678133548120456e-8	5.5678133548120456e-8
intermediate	DE	AGRI_FOOD	IT	REF_RATV	0.23294227762880654	0.23294227762880654	0.2329422961189608	1.8490154268802073e-8	1.8490154268802073e-8
intermediate	DE	AGRI_FOOD	IT	TRADE	37.738997718074735	37.738997718074735	37.73900082217892	3.104104187912071e-6	3.104104187912071e-6
intermediate	DE	AGRI_FOOD	IT	TRANSPORT	17.11008500448617	17.11008500448617	17.110086147236228	1.1427500581362438e-6	1.1427500581362438e-6
intermediate	DE	AGRI_FOOD	IT	UTIL_WASTE	21.661974668372544	21.661974668372544	21.661998442980696	2.377460815239374e-5	2.377460815239374e-5
intermediate	DE	AGRI_FOOD	PL	AGRI_FOOD	907.3407027382518	907.3407027382518	907.3410185424044	0.00031580415259213623	0.00031580415259213623
intermediate	DE	AGRI_FOOD	PL	BASIC_METALS	0.41225532794416886	0.41225532794416886	0.412255354948359	2.7004190161772357e-8	2.7004190161772357e-8
intermediate	DE	AGRI_FOOD	PL	CONSTRUCTION	5.413492176068026	5.413492176068026	5.413492243752514	6.768448823635254e-8	6.768448823635254e-8
intermediate	DE	AGRI_FOOD	PL	EXTRACTIVE	0.5480061921251302	0.5480061921251302	0.5480062201654323	2.804030208025665e-8	2.804030208025665e-8
